tile,cluster,zone,area_m2,n_pts,n_ground,n_class1,n_reclaim,ground_per_m2,class1_per_m2,reclaim_per_m2,med_inten_ground,med_inten_reclaim,med_absang_ground,med_absang_reclaim,planar_ground,planar_ground_n,planar_reclaim,planar_reclaim_n
621594,43,ring,369.0,666,598,68,0,1.6205962059620596,0.1842818428184282,0.0,18920.0,,11.907,,0.020022177557763143,598,,0
621594,43,far,4369.75,8427,8142,284,15,1.8632644888151495,0.06499227644602094,0.003432690657360261,19376.0,19120.0,11.952,12.084,0.015545157165774981,1500,0.11600547269728168,15
621594,44,floor,109.0,1007,580,427,6,5.321100917431193,3.9174311926605503,0.05504587155963303,17696.0,9688.0,16.134,17.79,0.08487040952795155,580,0.16821758360129024,6
621594,44,ring,813.75,8563,3688,4875,39,4.5321044546851,5.990783410138249,0.047926267281105994,18144.0,14752.0,16.014,15.828000000000001,0.038366724730508395,1500,0.1431085585886649,39
621594,44,far,6730.75,45251,24023,21228,145,3.569141626118932,3.1538832968094193,0.021542918694053413,16112.0,13392.0,16.41,15.450000000000001,0.02157710820009129,1500,0.09082026539522303,145
621594,45,floor,23.25,47,39,8,6,1.6774193548387097,0.34408602150537637,0.25806451612903225,27632.0,21160.0,8.922,8.91,0.08397239572741455,39,0.2272794426936855,6
621594,45,ring,300.5,647,617,30,5,2.05324459234609,0.09983361064891846,0.016638935108153077,17376.0,7232.0,8.976,8.934000000000001,0.04448051790382124,617,0.17609767378382912,5
621594,45,far,4134.0,10262,9757,504,18,2.3601838413159166,0.12191582002902758,0.0043541364296081275,20208.0,17808.0,8.988,8.408999999999999,0.015792391371206804,1500,0.14581504334253736,18
621594,46,floor,25.25,69,64,5,0,2.5346534653465347,0.19801980198019803,0.0,13544.0,,12.045,,0.0958311210245597,64,,0
621594,46,ring,303.5,842,740,102,2,2.4382207578253707,0.33607907742998355,0.006589785831960461,15784.0,13544.0,12.072000000000001,12.195,0.030158860414530864,740,0.15040752440481242,2
621594,46,far,4148.0,10368,10111,257,17,2.437560270009643,0.061957569913211184,0.004098360655737705,16896.0,12816.0,12.084,11.622,0.018893797833840154,1500,0.11725323626961881,17
621594,47,floor,58.5,312,204,108,3,3.4871794871794872,1.8461538461538463,0.05128205128205128,22272.0,20208.0,13.371,13.254,0.08440817876206097,204,0.12034134959282028,3
621594,47,ring,357.75,2991,1202,1789,17,3.359888190076869,5.000698812019567,0.047519217330538085,20312.0,13088.0,13.326,13.47,0.03748209334892749,1202,0.13053065846304435,17
621594,47,far,4332.25,19945,10101,9844,117,2.331582895723931,2.272260372785504,0.02700675168792198,13376.0,9760.0,13.224,13.446,0.02542373458911129,1500,0.08725161000495518,117
621594,48,floor,28.0,144,98,46,3,3.5,1.6428571428571428,0.10714285714285714,18880.0,16784.0,17.22,17.256,0.08128504127236624,98,0.20515693565573656,3
621594,48,ring,318.5,1442,1126,316,24,3.535321821036107,0.9921507064364207,0.07535321821036106,19896.0,10016.0,17.178,17.298000000000002,0.04466111702629405,1126,0.1797689144942467,24
621594,48,far,4195.25,23691,16468,7223,304,3.925391812168524,1.7217090757404208,0.07246290447529945,15904.0,12328.0,16.98,17.37,0.028802224026520662,1500,0.08748350770204638,304
621594,49,floor,31.5,120,85,35,8,2.6984126984126986,1.1111111111111112,0.25396825396825395,24384.0,24168.0,15.216000000000001,15.141,0.06114740136212049,85,0.22722477474869152,8
621594,49,ring,315.0,1127,798,329,20,2.533333333333333,1.0444444444444445,0.06349206349206349,16960.0,8896.0,15.222,15.189,0.04431572678711859,798,0.13981181750691007,20
621594,49,far,4188.0,18250,11452,6798,173,2.7344794651384907,1.6232091690544412,0.04130850047755492,14688.0,12864.0,15.438,15.534,0.024761296542180844,1500,0.07726820979718241,173
621594,50,floor,44.75,260,203,57,11,4.5363128491620115,1.2737430167597765,0.24581005586592178,15136.0,13712.0,17.490000000000002,15.726,0.053204452892771315,203,0.14856400148255489,11
