tile,cluster,zone,area_m2,n_pts,n_ground,n_class1,n_reclaim,ground_per_m2,class1_per_m2,reclaim_per_m2,med_inten_ground,med_inten_reclaim,med_absang_ground,med_absang_reclaim,planar_ground,planar_ground_n,planar_reclaim,planar_reclaim_n
621594,26,ring,352.75,590,530,60,1,1.5024805102763996,0.1700921332388377,0.002834868887313962,28912.0,16176.0,12.996,13.062,0.04389377215159129,530,0.20620864930521066,1
621594,26,far,4311.25,7645,6341,1304,39,1.4708031313424181,0.3024644824586837,0.009046100318933024,21488.0,22304.0,12.996,13.38,0.02737629362422922,1499,0.0957656917871077,39
621594,27,floor,59.75,139,115,24,11,1.9246861924686192,0.401673640167364,0.18410041841004185,16608.0,35520.0,10.620000000000001,10.77,0.06851885012116554,115,0.15083431543831693,11
621594,27,ring,415.25,1040,935,105,0,2.251655629139073,0.25285972305839854,0.0,27984.0,,10.632,,0.04889303103925613,935,,0
621594,27,far,4496.75,11932,10207,1725,41,2.2698615666870516,0.3836103852782565,0.00911769611386001,22544.0,22944.0,10.638,11.028,0.026163919009519532,1500,0.11803032487699738,41
621594,28,floor,27.25,71,64,7,5,2.3486238532110093,0.25688073394495414,0.1834862385321101,34120.0,30208.0,7.2330000000000005,7.104,0.08466589244508782,64,0.34704783108401216,5
621594,28,ring,304.75,886,795,91,5,2.608695652173913,0.29860541427399506,0.016406890894175553,29920.0,18384.0,7.218,6.894,0.03995244975544665,795,0.13943106534560457,5
621594,28,far,4149.75,13336,11438,1898,31,2.7563106211217545,0.4573769504186999,0.007470329537923971,22184.0,20928.0,7.197,6.5760000000000005,0.01800539944764523,1500,0.1208389135130119,31
621594,29,floor,26.75,63,47,16,10,1.7570093457943925,0.5981308411214953,0.37383177570093457,22880.0,25560.0,13.326,13.23,0.10274337572275272,47,0.1734857089836055,10
621594,29,ring,307.0,781,686,95,4,2.234527687296417,0.30944625407166126,0.013029315960912053,19520.0,14112.0,13.323,13.155000000000001,0.042176708977251565,686,0.19033954863894564,4
621594,29,far,4160.25,13183,10568,2615,8,2.5402319572141097,0.6285679947118562,0.0019229613604951625,24336.0,23992.0,13.284,13.263000000000002,0.022163202424763995,1500,0.13008594977529242,8
621594,30,floor,39.5,886,587,299,1,14.860759493670885,7.569620253164557,0.02531645569620253,18160.0,31856.0,6.804,7.314,0.059896479776057276,587,0.16926525551645,1
621594,30,ring,328.5,5335,3496,1839,0,10.642313546423136,5.598173515981735,0.0,26808.0,,6.954,,0.037269411192937696,1500,,0
