tile,cluster,pit,area_m2,floor_px,n_ground_in_floor,n_reclaim_in_floor,depth_A_m,depth_B_m,d_depth_m,dz_floor_med,dz_floor_min,dz_ring_med
615591,4,28,42.65690115316969,171,102,11,0.9927573155733853,0.9912106258958602,-0.001546689677525137,0.0,-0.42734550081797806,0.0
615591,5,29,25.659622336373115,105,67,0,0.7438896956962822,0.7438896956962822,0.0,0.0,0.0,0.0
615591,6,19,18.232047098996844,72,92,0,0.43069701095259916,0.4312443902992982,0.0005473793466990173,0.0,-0.015250498656030231,0.0
615591,7,26,46.08560637256957,184,105,4,1.8065005709716502,1.8065005709716502,0.0,0.0,-0.12274289650838455,0.0
615591,8,7,28.584245119728525,114,160,8,1.0188885336932572,1.0244070922350375,0.005518558541780294,0.0,-0.07982581248177212,0.0
615591,9,33,25.2446744680831,103,121,0,0.6615471018624817,0.6615471018624817,0.0,0.0,0.0,0.0
615591,10,22,42.77583014506961,175,110,0,0.42859922553503793,0.42859922553503793,0.0,0.0,0.0,0.0
615591,11,32,36.379624780566715,144,182,5,0.00506771995969757,0.00506771995969757,0.0,0.0,-0.07817730954144508,0.0
615591,12,34,40.32828946971193,161,105,6,1.5657270252514195,1.564334768438414,-0.001392256813005588,0.0,-0.1056798832921686,0.0
615591,13,23,51.12747442135847,206,208,4,1.9849323970877322,1.980701611751158,-0.004230785336574172,0.0,-0.2034623775028308,0.0
615591,14,25,22.82373910829627,93,62,6,0.9372672366110919,0.9519225829607763,0.01465534634968435,-5.684341886080802e-14,-0.09164553341310011,0.0
615591,15,31,22.317800278963336,92,63,0,1.471729800816604,1.479841236864388,0.008111436047784082,0.0,-0.008941907490225276,0.0
615591,16,30,37.084043790002724,147,114,4,1.2963796706750372,1.3213344951029171,0.024954824427879885,0.0,-0.06832263482669987,0.0
615591,17,16,79.2117111953032,319,361,4,0.90164413260635,0.8960260037587204,-0.005618128847629578,0.0,-0.08656139813263053,0.0
615591,18,9,34.015116788681034,136,65,2,1.0871973557614183,1.087799187602684,0.0006018318412657209,0.0,-0.19765030182009014,0.0
615591,19,10,28.619626102918037,115,73,0,0.6859563029098013,0.6859563029098013,0.0,0.0,0.0,0.0
615591,20,8,45.73710143854175,183,85,4,1.072357756828353,1.0684451315080423,-0.003912625320310781,0.0,-0.09174395008307101,0.0
615591,21,20,14.682009868943132,59,26,0,0.4060954539946806,0.4060954539946806,0.0,0.0,0.0,0.0
615591,22,0,26.450227166851477,107,51,0,-0.4678304990595734,-0.4695880930032672,-0.0017575939436937915,0.0,-0.006521285330677529,0.0
615591,23,6,28.53915053138148,116,191,0,0.43137551775140537,0.43022311722830864,-0.0011524005230967305,0.0,-0.06025126751751486,0.0
615591,24,1,29.596975943262965,120,83,3,0.5863261315557224,0.5901917521953237,0.003865620639601275,0.0,-0.12485521484057927,0.0
615591,25,2,20.501403160972703,82,53,0,1.0790939955555814,1.0790939955555814,0.0,0.0,0.0,0.0
615591,25,3,13.401514159567093,53,51,0,0.7932436556097286,0.7932436556097286,0.0,0.0,0.0,0.0
615591,25,4,28.304985206618564,113,110,0,0.69470401712897,0.69470401712897,0.0,0.0,0.0,0.0
615591,25,5,21.837889092075994,86,45,5,0.5942453110658334,0.5936330997319601,-0.000612211333873347,-5.684341886080802e-14,-0.07132258082094722,0.0
615591,25,13,18.40812471588573,73,54,0,0.7087529106365196,0.7068123779195048,-0.0019405327170147757,0.0,0.0,0.0
615591,25,14,33.608766872179956,134,112,0,0.2433258786645638,0.2433258786645638,0.0,0.0,-0.015882671177848806,0.0
615591,25,15,44.032502674991726,178,198,0,0.6120580558051074,0.6120580558051074,0.0,0.0,0.0,0.0
615591,25,21,25.824570078042143,110,147,0,0.25937246767648503,0.2597005739905285,0.0003281063140434526,0.00023535186929279917,-0.027716482745802296,0.0
615591,26,24,29.76424621632027,119,61,0,1.2583073385200692,1.264626247555782,0.00631890903571275,0.0,-0.23208861655172086,0.0
613591,0,13,36.44930624282425,146,70,8,1.0759255229833684,1.0759255229833684,0.0,0.0,-0.16452700418381028,0.0
613591,1,21,49.756532450807875,200,109,6,1.3026042273035046,1.3049568996778476,0.002352672374343001,0.0,-0.08900005148353785,0.0
613591,2,14,36.136023903270505,145,82,0,0.3222927467129466,0.3222927467129466,0.0,0.0,0.0,0.0
613591,3,4,40.01301020972709,164,88,10,1.0527563001112412,1.0426724505153402,-0.010083849595901029,0.0,-0.19228555376520262,0.0
613591,4,15,37.20785154511147,150,96,3,0.7311451848104866,0.7381415319359235,0.0069963471254368415,0.0,-0.13001421602785967,0.0
613591,5,5,31.647673011597217,129,66,0,0.9020505920599362,0.9020505920599362,0.0,0.0,0.0,0.0
613591,6,20,41.009192083162965,163,105,0,0.5001617221061565,0.5001617221061565,0.0,0.0,0.0,0.0
613591,7,6,34.71072261281978,142,65,2,0.9266487916469259,0.9269319616915936,0.00028317004466771323,0.0,-0.18259300709058834,0.0
613591,8,1,28.298585519964078,112,66,4,1.0163016238046794,1.012225962057073,-0.004075661747606318,0.0,-0.20129486174568,0.0
613591,9,3,19.324616281689455,80,36,3,0.7276634403597768,0.7276634403597768,0.0,0.0,-0.057902566442180614,0.0
613591,10,2,37.85497918083855,152,85,3,1.2282601560252147,1.2282601560252147,0.0,0.0,-0.24927381674831395,0.0
613591,11,12,25.03947160855598,100,42,6,1.2322117931105367,1.2322117931105367,0.0,0.0,-0.20128502574374352,0.0
613591,12,11,53.7185917796511,220,106,6,0.656001117034009,0.65530524715615,-0.0006958698778589678,0.0,-0.13060692701776588,0.0
613591,13,16,48.51140888410961,195,119,0,0.5261287635165672,0.5261287635165672,0.0,0.0,0.0,0.0
613591,14,10,27.6080353717726,111,69,0,0.22450549637142103,0.22450549637142103,0.0,0.0,0.0,0.0
613591,15,8,30.651244531911274,125,32,8,0.7614940230457137,0.7614940230457137,0.0,-5.684341886080802e-14,-0.19978763634804864,0.0
613591,16,17,30.308599386495388,123,64,0,0.5850511556500919,0.5850511556500919,0.0,0.0,0.0,0.0
613591,17,7,61.10562023584152,247,159,0,0.7941417322289794,0.7941767107319038,3.497850292433213e-05,0.0,-0.08538252638282984,0.0
613591,18,9,41.22522892177468,167,33,0,0.6078107795506753,0.6054872017529647,-0.002323577797710641,0.0,-0.003792623284766705,0.0
613591,19,19,24.529056711657585,101,33,0,0.5109497089637216,0.5109497089637216,0.0,0.0,0.0,0.0
613591,20,0,32.49297680546558,130,64,1,0.43729037852290276,0.43729037852290276,0.0,0.0,-0.0261770031839319,0.0
