block,permit,name,status,spud_year,permit_year,on_chm_min,baseline_p75,deficit,x,y
e1423n2235,083-11867,MIDDLEBROUGH 20,DEP Orphan List,1800.0,1995.0,13.58380126953125,25.25933837890625,11.675537109375,700384.1747198859,4647109.025794066
e1423n2235,083-11898,MIDDLEBROUGH E 027,DEP Orphan List,1800.0,1995.0,18.5650634765625,25.25933837890625,6.69427490234375,700227.137685341,4647973.719072475
e1423n2235,083-10679,LAWTON 107,DEP Orphan List,1800.0,1995.0,0.0272216796875,25.25933837890625,25.23211669921875,700169.9289919648,4648378.719223322
e1423n2235,083-10696,LAWTON 147,DEP Orphan List,1800.0,1995.0,0.0648193359375,25.25933837890625,25.19451904296875,699440.3551182174,4648297.170553303
e1423n2235,083-10708,WILSON 9,DEP Orphan List,1800.0,1995.0,0.0,25.25933837890625,25.25933837890625,699821.2507878953,4648307.88466483
e1423n2235,083-10711,WILSON 00,DEP Orphan List,1800.0,1995.0,13.249267578125,25.25933837890625,12.01007080078125,699718.1972654836,4648167.853704046
e1423n2235,083-11851,MIDDLEBROUGH 3,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,700613.9944069815,4647069.731546315
e1423n2235,083-11876,MIDDLEBROUGH E02,DEP Orphan List,1800.0,1995.0,15.96832275390625,25.25933837890625,9.291015625,700457.6872282985,4647202.558564351
e1423n2235,083-11987,WHITEHEAD 41,DEP Orphan List,1800.0,1995.0,12.51373291015625,25.25933837890625,12.74560546875,700242.5813836511,4648076.0582671305
e1423n2235,083-11990,WHITEHEAD WH 1,DEP Orphan List,1800.0,1995.0,12.257080078125,25.25933837890625,13.00225830078125,700303.1471086566,4648263.571876736
e1423n2235,083-12003,WHITEHEAD 06,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,700320.739236624,4648724.57966577
e1423n2235,083-12008,WHITEHEAD 013,DEP Orphan List,1800.0,1995.0,14.3306884765625,25.25933837890625,10.92864990234375,700174.365691825,4648327.281426944
e1423n2235,083-10652,WILTSIE LEASE 30,DEP Orphan List,1800.0,1995.0,14.10516357421875,25.25933837890625,11.1541748046875,700186.4144977673,4647255.912920226
e1423n2235,083-11857,MIDDLEBROUGH 9,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,700702.7529834101,4647163.808970699
e1423n2235,083-11984,WHITEHEAD 10,DEP Orphan List,1800.0,1995.0,15.3258056640625,25.25933837890625,9.93353271484375,700270.6871219939,4648155.862699116
e1423n2235,083-11988,WHITEHEAD 42,DEP Orphan List,1800.0,1995.0,5.79541015625,25.25933837890625,19.46392822265625,700307.8728871453,4648096.12553616
e1423n2235,083-11661,GEORGE FARM 138,DEP Orphan List,1800.0,1995.0,14.433837890625,25.25933837890625,10.82550048828125,699396.9439501315,4648646.665454206
e1423n2235,083-11978,WHITEHEAD 1,DEP Orphan List,1800.0,1995.0,8.43603515625,25.25933837890625,16.82330322265625,700237.343391379,4648261.715000064
e1423n2235,083-11994,WHITEHEAD WH 6,DEP Orphan List,1800.0,1995.0,6.469970703125,25.25933837890625,18.78936767578125,700381.4295013644,4648460.921121111
e1423n2235,083-12004,WHITEHEAD 07,DEP Orphan List,1800.0,1995.0,7.42852783203125,25.25933837890625,17.830810546875,700340.0250062273,4648581.99217413
e1423n2235,083-12120,K & D 91,DEP Orphan List,1800.0,1995.0,10.7828369140625,25.25933837890625,14.47650146484375,700659.1331100344,4648084.711109922
e1423n2235,083-41988,MELVIN 284,DEP Abandoned List,1800.0,1983.0,5.21270751953125,25.25933837890625,20.046630859375,698194.5743652332,4648232.489737177
e1423n2235,083-12450,BOUQUIN FARM 35A,DEP Orphan List,1800.0,1995.0,,25.25933837890625,,700446.1485219356,4645789.142471765
e1423n2235,083-00793,WHIPPLE PATTERSON 01,DEP Abandoned List,1800.0,1986.0,0.08172607421875,25.25933837890625,25.1776123046875,699322.5562643664,4647639.328212847
e1423n2235,083-43050,LAFFERTY 23,DEP Abandoned List,1800.0,1984.0,0.06512451171875,25.25933837890625,25.1942138671875,699180.7916804772,4648189.311999274
