block,permit,name,status,spud_year,permit_year,oldest_for,on_chm,off_chm,deficit,x,y
e1423n2235,083-12117,K & D 72,DEP Orphan List,1800.0,1995.0,,,,,700736.7577751352,4647838.758326286
e1423n2235,083-11865,MIDDLEBROUGH 18,DEP Orphan List,1800.0,1995.0,,22.184926986694336,21.971128463745117,-0.21379852294921875,700415.8866694373,4647064.136545775
e1423n2235,083-42993,MELVIN 164,DEP Abandoned List,1800.0,1984.0,,3.2132105827331543,2.686857223510742,-0.5263533592224121,698441.9094118936,4647858.463571533
e1423n2235,083-42995,MELVIN 030,DEP Abandoned List,1800.0,1984.0,,0.07729563117027283,3.560868501663208,3.483572870492935,698570.3162522425,4647831.495142232
e1423n2235,083-11872,MIDDLEBROUGH 8 A,DEP Orphan List,1800.0,1995.0,,17.829008102416992,21.3052978515625,3.476289749145508,700303.3039881232,4647975.86811576
e1423n2235,083-11891,MIDDLEBROUGH E 019,DEP Orphan List,1800.0,1995.0,,23.034160614013672,24.635160446166992,1.6009998321533203,700506.5769797593,4647295.507913845
e1423n2235,083-10703,LAWTON 013,DEP Orphan List,1800.0,1995.0,,18.851383209228516,21.403202056884766,2.55181884765625,700233.503190653,4648289.055065953
e1423n2235,083-10654,WILTSIE LEASE 8,DEP Orphan List,1800.0,1995.0,,23.668977737426758,21.096031188964844,-2.572946548461914,700142.3788676575,4647193.6627287185
e1423n2235,083-11647,GEORGE FARM 2,DEP Orphan List,1800.0,1995.0,,23.465147018432617,23.03476333618164,-0.43038368225097656,699594.8687833942,4648441.86709421
e1423n2235,083-11660,GEORGE FARM 4,DEP Orphan List,1800.0,1995.0,,24.268972396850586,23.124414443969727,-1.1445579528808594,699399.1672286117,4648570.495257158
e1423n2235,083-12001,WHITEHEAD 04,DEP Orphan List,1800.0,1995.0,,18.064678192138672,22.32070541381836,4.2560272216796875,700446.686884175,4648581.892574744
e1423n2235,083-11705,BROOKS 27,DEP Orphan List,1800.0,1995.0,,14.090071678161621,15.509435653686523,1.4193639755249023,698133.5605684784,4648965.100900586
e1423n2235,083-11849,MIDDLEBROUGH 1,DEP Orphan List,1800.0,1995.0,,24.58667755126953,23.788516998291016,-0.7981605529785156,700476.8938641982,4647065.8589341445
e1423n2235,083-11989,WHITEHEAD 43,DEP Orphan List,1800.0,1995.0,,21.63705062866211,21.35636329650879,-0.2806873321533203,700226.0442986136,4648121.265005747
