component_id,area_m2,bbox_h_px,bbox_w_px,aspect_ratio_bbox,eccentricity,elongation_pca,solidity_bbox,road_prob_max,road_prob_mean,pit_prob_max,centroid_x,centroid_y,overlaps_labeled_pit,classification
402,145.25,29,27,1.0740740740740742,0.4036708541385152,1.0930105169317024,0.7420178799489144,0.3557189404964447,0.18515346944332123,0.7889404296875,622320.4432013769,4595544.020654045,True,TRUE_PIT_LABELED
403,121.75,19,29,1.5263157894736843,0.7643878715623736,1.550972676235987,0.8838475499092558,0.3209277093410492,0.13532786071300507,0.71258544921875,622180.4425051335,4595543.858316222,True,TRUE_PIT_LABELED
404,26.0,14,12,1.1666666666666667,0.703415971763205,1.4069082060132267,0.6190476190476191,0.1539427787065506,0.09364078938961029,0.5503158569335938,619911.3509615385,4595536.711538462,False,COMPACT_OTHER_FP
405,24.0,15,10,1.5,0.8854086245159206,2.1514006182255403,0.64,0.3966522812843323,0.23205585777759552,0.5769195556640625,619918.1041666666,4595535.260416667,False,COMPACT_OTHER_FP
406,264.0,31,45,1.4516129032258065,0.7894545356465544,1.6291711863826839,0.7569892473118279,0.5292329788208008,0.26648980379104614,0.75,623772.7121212122,4595523.551609849,False,ROAD_LIKE_COMPACT
407,232.25,30,39,1.3,0.5866516431764779,1.2348127335221508,0.794017094017094,0.21337716281414032,0.12344849854707718,0.7466049194335938,622931.7529601722,4595507.699677072,False,COMPACT_OTHER_FP
408,322.25,40,42,1.05,0.41148112112345436,1.0971910685007589,0.7672619047619048,0.42685386538505554,0.1616753190755844,0.80352783203125,623454.6082234291,4595496.73545384,False,COMPACT_OTHER_FP
409,177.75,32,29,1.103448275862069,0.4874556699420779,1.1452815579089994,0.7661637931034483,0.5751108527183533,0.2556954622268677,0.7623291015625,623421.7524613221,4595498.158227848,False,ROAD_LIKE_COMPACT
410,174.0,33,28,1.1785714285714286,0.6200691828460192,1.2746206750519569,0.7532467532467533,0.5280162692070007,0.1842644363641739,0.85418701171875,623952.6745689656,4595495.878591954,False,ROAD_LIKE_COMPACT
411,253.5,38,32,1.1875,0.6226641824592456,1.2779729436812066,0.8338815789473685,0.4312294125556946,0.233846053481102,0.8022308349609375,621732.9965483234,4595493.274161736,True,TRUE_PIT_LABELED
412,201.25,34,33,1.0303030303030303,0.30196110153329514,1.0489654481225632,0.7174688057040999,0.5428633093833923,0.1961473524570465,0.850433349609375,621588.4739130435,4595488.234161491,True,TRUE_PIT_LABELED
413,258.75,39,33,1.1818181818181819,0.5887973201306304,1.2371939355270194,0.8041958041958042,0.47912052273750305,0.15118271112442017,0.901641845703125,621316.202415459,4595483.25120773,True,TRUE_PIT_LABELED
414,154.0,28,30,1.0714285714285714,0.3679414873638738,1.0754434949799216,0.7333333333333333,0.45930346846580505,0.3129667043685913,0.737640380859375,621473.3668831169,4595483.319805195,True,TRUE_PIT_LABELED
415,197.5,33,32,1.03125,0.4249439612018971,1.1047042458602472,0.7481060606060606,0.5031702518463135,0.19886988401412964,0.8241729736328125,621847.8518987342,4595478.4455696205,True,TRUE_PIT_LABELED
416,150.5,31,27,1.1481481481481481,0.6399884743510721,1.3014317559912212,0.7192353643966547,0.2619497776031494,0.13611075282096863,0.734649658203125,623319.3596345515,4595468.112126246,False,COMPACT_OTHER_FP
417,122.0,27,25,1.08,0.4573887396842985,1.1245218389585576,0.7229629629629629,0.467635840177536,0.19092781841754913,0.6846160888671875,621389.2469262296,4595457.5522540985,False,COMPACT_OTHER_FP
418,285.25,41,36,1.1388888888888888,0.39775727616843126,1.0899293267887162,0.7730352303523035,0.39272043108940125,0.17071235179901123,0.900634765625,621213.0758106924,4595453.179666959,True,TRUE_PIT_LABELED
419,196.25,34,32,1.0625,0.5319680077160515,1.1809659658306204,0.7215073529411765,0.3844812512397766,0.1341322809457779,0.81951904296875,619545.4656050955,4595453.001910828,False,COMPACT_OTHER_FP
420,12.0,11,10,1.1,0.9023479480918829,2.320140772868441,0.43636363636363634,0.4516506791114807,0.3124944269657135,0.5139236450195312,620430.0833333334,4595455.625,False,ROAD_LIKE_COMPACT
423,50.25,10,25,2.5,0.905944770846695,2.3618557584494915,0.804,0.3619537353515625,0.12704002857208252,0.637176513671875,621084.8606965174,4595450.092039801,True,TRUE_PIT_LABELED
424,228.25,35,33,1.0606060606060606,0.3426705008172936,1.0644461977403357,0.7904761904761904,0.5067744851112366,0.15178032219409943,0.821319580078125,620048.0766703177,4595439.206462213,False,ROAD_LIKE_COMPACT
425,324.75,44,37,1.1891891891891893,0.5740893865470399,1.2213104507774042,0.797911547911548,0.3538467288017273,0.17443647980690002,0.9239654541015625,620943.7490377213,4595435.288683603,True,TRUE_PIT_LABELED
426,286.75,39,39,1.0,0.26909398239083093,1.038298768336968,0.7541091387245233,0.4720749855041504,0.19572992622852325,0.916351318359375,620320.1800348735,4595435.090235396,False,COMPACT_OTHER_FP
427,257.5,34,46,1.3529411764705883,0.7025475022795715,1.4052110978329295,0.6585677749360613,0.4762446880340576,0.20053313672542572,0.77618408203125,620832.6572815534,4595435.984951456,False,COMPACT_OTHER_FP
428,212.25,36,31,1.1612903225806452,0.7087152191931105,1.417445139981862,0.760752688172043,0.3192274868488312,0.15237312018871307,0.768402099609375,619929.1024734982,4595430.38221437,False,COMPACT_OTHER_FP
429,211.25,30,37,1.2333333333333334,0.6130986683400478,1.2658126205442792,0.7612612612612613,0.5357664823532104,0.28961870074272156,0.74420166015625,619775.1964497041,4595430.63372781,False,ROAD_LIKE_COMPACT
430,211.25,34,30,1.1333333333333333,0.49229846566549734,1.1488621348122094,0.8284313725490197,0.3951444625854492,0.13085487484931946,0.7675933837890625,620187.2946745562,4595429.774556213,False,COMPACT_OTHER_FP
431,304.75,42,41,1.024390243902439,0.7011123637784028,1.402424610124852,0.7078977932636469,0.5637082457542419,0.2369241863489151,0.87615966796875,619663.6328958162,4595426.30147662,False,ROAD_LIKE_COMPACT
432,107.5,26,23,1.1304347826086956,0.6158434696656443,1.2692472940297082,0.7190635451505016,0.3368549346923828,0.12893860042095184,0.639862060546875,623892.8069767442,4595429.039534884,False,COMPACT_OTHER_FP
433,244.75,35,34,1.0294117647058822,0.39769192800772213,1.089895676350328,0.8226890756302521,0.47301816940307617,0.13036565482616425,0.8968505859375,622323.5148110316,4595426.269152196,True,TRUE_PIT_LABELED
