pit_bottom_elev_m,rim_mean_elev_m,rim_max_elev_m,depth_from_rim_mean_m,depth_from_rim_max_m,rim_radius_m,effective_radius_m,diameter_m,aspect_ratio,rim_symmetry_std_m,volume_approx_m3,lrm5_depth_m,lrm11_depth_m,slope_inner_deg,original_index,x,y,tile,notes,max_zscore,mean_zscore,mahalanobis,iso_anomaly_score,anomaly_rank
397.7628,398.5256,399.8382,0.7628,2.0754,7.0000,5.0990,14.0000,0.0545,0.6572,39.1391,-0.2544,-0.5340,11.1553,364,623621.8496,4596113.3793,dem_9t_1m,,1.2033,0.6381,3.8244,0.4433,102
478.3653,479.7776,480.1160,1.4123,1.7507,5.0000,5.8310,10.0000,0.1412,0.3066,36.9729,-0.3269,-1.0658,16.0672,49,621752.2363,4595102.8946,dem_9t_1m,,2.4214,1.1492,3.8221,0.5329,103
488.6759,489.6191,490.0450,0.9432,1.3690,6.5000,5.3852,13.0000,0.0726,0.2420,41.7313,-0.4171,-0.7554,12.9985,469,622973.2288,4595834.4396,dem_9t_1m,,1.8872,0.7465,3.8048,0.4577,104
521.4254,521.8569,524.0606,0.4315,2.6352,7.0000,5.8310,14.0000,0.0308,1.2645,22.1392,-0.0287,-0.1190,3.7840,618,697733.7171,4647294.4588,dem_mk5_1m,,1.9157,1.0870,3.7865,0.4737,105
418.2847,419.2811,420.3622,0.9964,2.0775,7.0000,5.8310,14.0000,0.0712,1.0833,51.1263,-0.1231,-0.5908,6.1170,38,621878.8842,4594588.6101,dem_9t_1m,,1.4587,0.8456,3.7816,0.4345,106
467.1467,468.6298,470.0567,1.4831,2.9100,7.0000,5.7439,14.0000,0.1059,1.2016,76.0999,-0.2694,-0.8004,17.0372,529,620540.4094,4595479.0085,dem_9t_1m,,2.8986,1.5134,3.7801,0.5514,107
546.4990,547.0719,548.6881,0.5729,2.1891,7.0000,6.0000,14.0000,0.0409,1.3949,29.3958,-0.0204,-0.1290,2.8367,686,700431.1410,4648657.9945,dem_mk5_1m,,2.2550,1.0562,3.7680,0.4815,108
414.8270,415.2378,415.3987,0.4108,0.5717,3.0000,5.0000,6.0000,0.0685,0.0864,3.8717,-0.2166,-0.3073,8.3766,454,622737.3667,4594594.5256,dem_9t_1m,,1.8538,0.9919,3.7678,0.4918,109
388.7244,388.9782,389.7111,0.2538,0.9867,7.0000,5.0990,14.0000,0.0181,0.7057,13.0223,-0.1687,-0.1546,6.5985,232,623176.9875,4594772.2411,dem_9t_1m,,1.4108,0.8544,3.7568,0.4687,110
471.1240,472.2633,472.4605,1.1393,1.3366,4.0000,5.0990,8.0000,0.1424,0.2205,19.0899,-0.4473,-0.8607,18.3973,300,619557.4867,4596617.8622,dem_9t_1m,,2.4585,1.2770,3.7546,0.5136,111
