pit_bottom_elev_m,rim_mean_elev_m,rim_max_elev_m,depth_from_rim_mean_m,depth_from_rim_max_m,rim_radius_m,effective_radius_m,diameter_m,aspect_ratio,rim_symmetry_std_m,volume_approx_m3,lrm5_depth_m,lrm11_depth_m,slope_inner_deg,original_index,tile,notes,max_zscore,mean_zscore,mahalanobis,iso_anomaly_score,anomaly_rank,PC1_depth_volume,PC2_size_vs_slope,PC3_rim_asymmetry,z_depth_from_rim_mean_m,z_depth_from_rim_max_m,z_rim_radius_m,z_effective_radius_m,z_diameter_m,z_aspect_ratio,z_rim_symmetry_std_m,z_volume_approx_m3,z_lrm5_depth_m,z_lrm11_depth_m,z_slope_inner_deg,anomaly_reason,anomaly_reason_zscore
544.8980,545.2516,546.2845,0.3536,1.3865,7.0000,5.3852,14.0000,0.0253,0.9702,18.1461,-0.0163,-0.0043,15.0870,563,dem_mk5_1m,,1.5427,0.9378,4.8555,0.4765,47,-0.9810,1.8334,1.9020,-1.0106,-0.1284,1.0048,-0.3664,1.0048,-1.1875,1.1495,-0.4427,1.2304,1.5428,1.2469,lrm11_depth_m,1.5428
483.4205,484.9534,485.5653,1.5328,2.1448,7.0000,5.8310,14.0000,0.1095,0.2601,78.6540,-0.3453,-1.0052,18.6665,130,dem_9t_1m,,3.0458,1.5216,4.8068,0.5611,48,4.9512,-1.0746,-1.1564,2.3781,1.0065,1.0048,0.9375,1.0048,1.4337,-0.6990,3.0458,-1.3288,-1.9213,1.9770,volume_approx_m3,3.0458
478.6954,479.9958,480.8770,1.3004,2.1816,7.0000,5.8310,14.0000,0.0929,0.4369,66.7262,-0.3964,-1.0005,17.7953,115,dem_9t_1m,,2.3581,1.3330,4.7694,0.5196,49,4.4048,-0.8476,-0.6400,1.7103,1.0616,1.0048,0.9375,1.0048,0.9169,-0.2388,2.3581,-1.7263,-1.9051,1.7993,volume_approx_m3,2.3581
574.9883,575.9842,578.8066,0.9959,3.8184,7.0000,5.3852,14.0000,0.0711,2.1711,51.1028,-0.1777,-0.4771,15.8090,607,dem_mk5_1m,,4.2755,1.2916,4.7613,0.5508,50,3.8902,1.6592,4.3376,0.8352,3.5114,1.0048,-0.3664,1.0048,0.2383,4.2756,1.4574,-0.0251,-0.0936,1.3942,rim_symmetry_std_m,4.2756
610.6443,610.6674,610.7403,0.0231,0.0960,2.0000,5.0000,4.0000,0.0058,0.0486,0.0969,-0.0146,0.1523,2.7413,600,dem_mk5_1m,,2.5685,1.7980,4.7601,0.5860,51,-5.8762,-0.9855,0.0368,-1.9604,-2.0599,-2.5685,-1.4929,-2.5685,-1.7945,-1.2496,-1.4834,1.2437,2.0848,-1.2711,rim_radius_m,-2.5685
483.8347,484.1517,485.7274,0.3169,1.8926,7.0000,5.3852,14.0000,0.0226,1.1616,16.2623,0.0341,0.0482,13.9879,476,dem_9t_1m,,1.7247,1.0873,4.7224,0.5017,52,-0.9195,2.3683,2.5081,-1.1161,0.6290,1.0048,-0.3664,1.0048,-1.2715,1.6477,-0.5514,1.6225,1.7245,1.0227,lrm11_depth_m,1.7245
465.6011,466.4806,466.7057,0.8795,1.1046,3.5000,5.0990,7.0000,0.1256,0.2330,11.2826,-0.5715,-0.7422,17.8763,579,dem_mk5_1m,,3.0887,1.3370,4.7091,0.5321,53,0.5890,-4.7699,0.1898,0.5007,-0.5504,-1.4965,-1.2034,-1.4965,1.9349,-0.7696,-0.8385,-3.0884,-1.0111,1.8158,lrm5_depth_m,-3.0884
425.8741,427.4675,429.6003,1.5934,3.7263,7.0000,5.6569,14.0000,0.1138,1.6095,81.7624,-0.3737,-0.8755,22.6400,369,dem_9t_1m,,3.3735,1.9800,4.6873,0.6467,54,6.6453,-0.3555,2.5834,2.5523,3.3736,1.0048,0.4283,1.0048,1.5676,2.8137,3.2250,-1.5497,-1.4724,2.7874,depth_from_rim_max_m,3.3736
464.1329,464.7631,465.1444,0.6302,1.0115,3.5000,5.6569,7.0000,0.0900,0.1863,8.0842,-0.2419,-0.5048,13.0440,173,dem_9t_1m,,1.4965,0.7829,4.6420,0.4689,55,-1.0479,-2.2546,-0.5737,-0.2157,-0.6897,-1.4965,0.4283,-1.4965,0.8267,-0.8911,-1.0229,-0.5245,-0.1894,0.8302,rim_radius_m,-1.4965
465.0843,466.0768,466.5667,0.9925,1.4824,7.0000,5.6569,14.0000,0.0709,0.4700,50.9259,-0.4364,-0.7354,18.8262,388,dem_9t_1m,,2.0375,0.9222,4.6286,0.5008,56,2.7792,-0.8637,-0.1422,0.8254,0.0151,1.0048,0.4283,1.0048,0.2321,-0.1526,1.4472,-2.0375,-0.9875,2.0095,lrm5_depth_m,-2.0375
