area,tile,flown,points,ground_pct,ground_stops,data_stops,gap,barred_pct,pts_beyond,error
Venango,17TPF621596,2020-03-18,9366105.0,67.0767944625861,17.75,19.75,2.0,10.126582278481013,1730500.0,
Venango,17TPF621597,2020-03-18,9324512.0,63.857325723855574,17.75,20.25,2.5,12.345679012345679,1745837.0,
Venango,17TPF621599,2020-03-18,10708456.0,58.78595382938493,17.75,19.75,2.0,10.126582278481013,1867987.0,
Venango,17TPF622591,2020-03-18,8486153.0,54.81008885887398,17.75,18.75,1.0,5.333333333333333,921016.0,
Venango,17TPF622593,2020-03-18,9700199.0,64.01435681886525,17.75,19.25,1.5,7.792207792207792,1195061.0,
Venango,17TPF622594,2020-03-18,9717579.0,60.7471058377812,17.75,19.25,1.5,7.792207792207792,1407717.0,
Venango,17TPF622596,2020-03-18,9273632.0,63.08713781180879,17.75,19.75,2.0,10.126582278481013,1355029.0,
Venango,17TPF622597,2020-03-18,9344797.0,65.53317316577343,17.75,19.75,2.0,10.126582278481013,1426834.0,
Venango,17TPF622599,2020-03-18,10019758.0,62.81819381266494,17.75,19.75,2.0,10.126582278481013,1742928.0,
Venango,17TPF624591,2020-03-18,9075352.0,54.179573420402875,17.75,19.25,1.5,7.792207792207792,1082956.0,
Venango,17TPF624593,2020-03-18,9425107.0,62.08733757611452,17.75,19.75,2.0,10.126582278481013,1371152.0,
Venango,17TPF624594,2020-03-18,10379356.0,57.98326986761029,17.75,19.75,2.0,10.126582278481013,1644551.0,
Venango,17TPF624596,2020-03-18,10161348.0,61.481222766900615,17.75,19.75,2.0,10.126582278481013,1663800.0,
Venango,17TPF624597,2020-03-18,10344977.0,59.312727326508316,17.75,19.75,2.0,10.126582278481013,1678660.0,
Venango,17TPF624599,2020-03-18,10045348.0,57.88962214151267,17.75,19.75,2.0,10.126582278481013,1610058.0,
Venango,17TPG604600,2020-03-07,14018054.0,48.19651144160238,28.75,28.75,0.0,0.0,0.0,
Venango,17TPG604602,2020-03-07,13496163.0,50.741984962689024,28.75,28.75,0.0,0.0,0.0,
Venango,17TPG604603,2020-03-07,13222280.0,48.5355853907193,28.75,28.75,0.0,0.0,0.0,
Venango,17TPG604605,2020-03-07,12238023.0,56.18709002262865,28.75,28.75,0.0,0.0,0.0,
Venango,17TPG604606,2020-03-07,10088940.0,63.82958962983227,30.25,30.25,0.0,0.0,0.0,
Venango,17TPG604608,2020-03-16,8680259.0,67.76658392335989,17.75,19.75,2.0,10.126582278481013,887752.0,
Venango,17TPG606600,2020-03-16,9744429.0,62.86392973872559,17.75,19.75,2.0,10.126582278481013,2092637.0,
Venango,17TPG606602,2020-03-16,9618111.0,67.39954446356462,17.75,19.75,2.0,10.126582278481013,1679925.0,
Venango,17TPG606603,2020-03-16,9537893.0,70.4298423142302,17.75,19.25,1.5,7.792207792207792,1413052.0,
Venango,17TPG606605,2020-03-16,9713012.0,67.19535608521848,17.75,19.25,1.5,7.792207792207792,1476660.0,
Venango,17TPG606606,2020-03-16,9152718.0,71.17813528178188,17.75,19.75,2.0,10.126582278481013,1456886.0,
Venango,17TPG606608,2020-03-16,9754286.0,66.8614391663316,17.75,19.75,2.0,10.126582278481013,1338584.0,
Venango,17TPG607600,2020-03-16,9478941.0,68.39348404004203,17.75,19.75,2.0,10.126582278481013,1443321.0,
Venango,17TPG607602,2020-03-16,9239759.0,69.59982397809293,17.75,19.75,2.0,10.126582278481013,1509522.0,
Venango,17TPG607603,2020-03-16,8893125.0,74.51044486611849,17.75,19.75,2.0,10.126582278481013,1387315.0,
Venango,17TPG607605,2020-03-16,9309292.0,67.41277424749379,17.75,19.75,2.0,10.126582278481013,1690881.0,
Venango,17TPG607606,2020-03-16,9247381.0,66.92679797663793,17.75,19.75,2.0,10.126582278481013,1787198.0,
Venango,17TPG607608,2020-03-16,10012155.0,60.73287918535021,17.75,19.75,2.0,10.126582278481013,2095042.0,
Venango,17TPG609600,2020-03-16,10156631.0,64.05610285536612,17.75,19.75,2.0,10.126582278481013,1903743.0,
Venango,17TPG609602,2020-03-16,8973496.0,68.36240858635252,17.75,19.75,2.0,10.126582278481013,1826630.0,
Venango,17TPG609603,2020-03-16,9035675.0,66.0732485398158,17.75,19.75,2.0,10.126582278481013,2176898.0,
Venango,17TPG609605,2020-03-16,9359692.0,60.674101241793,17.75,19.75,2.0,10.126582278481013,2047346.0,
Venango,17TPG609606,2020-03-16,10186950.0,58.016658568069936,17.75,19.75,2.0,10.126582278481013,1991071.0,
Venango,17TPG609608,2020-03-16,9207728.0,60.372634812844176,17.75,19.75,2.0,10.126582278481013,1285375.0,
Venango,17TPG610600,2020-03-16,10416582.0,58.508069153586085,17.75,19.75,2.0,10.126582278481013,1766178.0,
Venango,17TPG610602,2020-03-16,11035450.0,51.292108613604334,17.75,19.75,2.0,10.126582278481013,2060468.0,
Venango,17TPG610603,2020-03-16,10740562.0,54.59635166204525,17.75,19.75,2.0,10.126582278481013,1755133.0,
Venango,17TPG610605,2020-03-16,8869222.0,66.766893420866,17.75,19.75,2.0,10.126582278481013,1424823.0,
Venango,17TPG610606,2020-03-16,10341263.0,55.91281258391746,17.75,19.25,1.5,7.792207792207792,1520303.0,
Venango,17TPG610608,2020-03-16,9050714.0,62.25925380030791,17.75,19.25,1.5,7.792207792207792,1092902.0,
Venango,17TPG612600,2020-03-16,10882348.0,47.52068211749891,17.75,19.75,2.0,10.126582278481013,1894459.0,
Venango,17TPG612602,2020-03-16,11099571.0,46.61216185742674,17.75,19.25,1.5,7.792207792207792,1714146.0,
Venango,17TPG612603,2020-03-16,10880851.0,47.753498324717434,17.75,19.25,1.5,7.792207792207792,1675910.0,
Venango,17TPG612605,2020-03-16,9986519.0,56.13297286071352,17.75,19.75,2.0,10.126582278481013,1569459.0,
Venango,17TPG612606,2020-03-16,9739590.0,61.970503891847606,17.75,19.75,2.0,10.126582278481013,1441698.0,
Venango,17TPG612608,2020-03-16,9333598.0,61.42456531768349,17.75,19.25,1.5,7.792207792207792,1266548.0,
Venango,17TPG613600,2020-03-18,10245689.0,60.088931061639684,17.75,19.75,2.0,10.126582278481013,1772791.0,
Venango,17TPG613602,2020-03-18,10984772.0,51.89515085065034,17.75,19.75,2.0,10.126582278481013,1703905.0,
Venango,17TPG613603,2020-03-18,10974768.0,49.734536529610466,17.75,19.75,2.0,10.126582278481013,1689337.0,
Venango,17TPG613605,2020-03-18,10443711.0,55.471402837554585,17.75,19.75,2.0,10.126582278481013,1625426.0,
Venango,17TPG613606,2020-03-18,10616813.0,51.244973420931494,17.75,19.75,2.0,10.126582278481013,1607364.0,
