area,tile,angle,at_ground_returns,pct_called_ground
"PA Northcentral 2019 B19  (McKean, QL1)",e1426n2235,25.5,23413,81.86050484773416
"PA Northcentral 2019 B19  (McKean, QL1)",e1426n2235,27.5,18971,98.56096146750303
"PA Northcentral 2019 B19  (McKean, QL1)",e1426n2235,28.5,44012,98.7298918476779
"PA Northcentral 2019 B19  (McKean, QL1)",e1427n2235,1.5,467,97.21627408993577
"PA Northcentral 2019 B19  (McKean, QL1)",e1427n2235,3.5,6815,96.1995597945708
"PA Northcentral 2019 B19  (McKean, QL1)",e1427n2235,4.5,35829,97.70018699935807
"PA Northcentral 2019 B19  (McKean, QL1)",e1427n2235,6.5,26354,97.79919556803522
"PA Northcentral 2019 B19  (McKean, QL1)",e1427n2235,7.5,64724,97.73345281502998
"PA Northcentral 2019 B19  (McKean, QL1)",e1427n2235,9.5,32603,97.61985093396314
"PA Northcentral 2019 B19  (McKean, QL1)",e1427n2235,10.5,73950,97.97565922920893
"PA Northcentral 2019 B19  (McKean, QL1)",e1427n2235,12.5,45851,98.20723648339185
"PA Northcentral 2019 B19  (McKean, QL1)",e1427n2235,13.5,109354,98.16833403442033
"PA Northcentral 2019 B19  (McKean, QL1)",e1427n2235,15.5,62612,97.8215038650738
"PA Northcentral 2019 B19  (McKean, QL1)",e1427n2235,16.5,125299,96.94810014445446
"PA Northcentral 2019 B19  (McKean, QL1)",e1427n2235,18.5,59789,89.21038987104652
"PA Northcentral 2019 B19  (McKean, QL1)",e1427n2235,19.5,123682,83.91277631344902
"PA Northcentral 2019 B19  (McKean, QL1)",e1427n2235,21.5,62577,81.70414049890536
"PA Northcentral 2019 B19  (McKean, QL1)",e1427n2235,22.5,122505,82.52724378596793
"PA Northcentral 2019 B19  (McKean, QL1)",e1427n2235,24.5,59802,82.74639644159059
"PA Northcentral 2019 B19  (McKean, QL1)",e1427n2235,25.5,119076,83.62390406127179
"PA Northcentral 2019 B19  (McKean, QL1)",e1427n2235,27.5,58488,97.90213377102995
"PA Northcentral 2019 B19  (McKean, QL1)",e1427n2235,28.5,115249,98.67591042004703
"PA Northcentral 2019 B19  (McKean, QL1)",e1428n2235,0.5,33695,97.03220062323787
"PA Northcentral 2019 B19  (McKean, QL1)",e1428n2235,1.5,135449,96.93168646501636
"PA Northcentral 2019 B19  (McKean, QL1)",e1428n2235,3.5,60282,97.5050595534322
"PA Northcentral 2019 B19  (McKean, QL1)",e1428n2235,4.5,99871,97.69202270929499
"PA Northcentral 2019 B19  (McKean, QL1)",e1428n2235,6.5,39618,97.20076732798223
"PA Northcentral 2019 B19  (McKean, QL1)",e1428n2235,7.5,67273,96.97649874392401
"PA Northcentral 2019 B19  (McKean, QL1)",e1428n2235,9.5,33953,96.87509203899508
"PA Northcentral 2019 B19  (McKean, QL1)",e1428n2235,10.5,67631,96.37887950791797
"PA Northcentral 2019 B19  (McKean, QL1)",e1428n2235,12.5,34450,97.5500725689405
"PA Northcentral 2019 B19  (McKean, QL1)",e1428n2235,13.5,69639,97.31041514094115
"PA Northcentral 2019 B19  (McKean, QL1)",e1428n2235,15.5,34581,97.63164743645353
"PA Northcentral 2019 B19  (McKean, QL1)",e1428n2235,16.5,68701,97.39887337884457
"PA Northcentral 2019 B19  (McKean, QL1)",e1428n2235,18.5,34848,97.49196510560148
"PA Northcentral 2019 B19  (McKean, QL1)",e1428n2235,19.5,70620,93.4409515717927
"PA Northcentral 2019 B19  (McKean, QL1)",e1428n2235,21.5,42161,84.17257655178958
"PA Northcentral 2019 B19  (McKean, QL1)",e1428n2235,22.5,89041,83.61765928055614
"PA Northcentral 2019 B19  (McKean, QL1)",e1428n2235,24.5,47826,80.66323756952285
"PA Northcentral 2019 B19  (McKean, QL1)",e1428n2235,25.5,73100,79.61149110807114
"PA Northcentral 2019 B19  (McKean, QL1)",e1428n2235,27.5,29778,99.13358855530929
"PA Northcentral 2019 B19  (McKean, QL1)",e1428n2235,28.5,50195,99.05568283693596
"PA Northcentral 2019 B19  (McKean, QL1)",e1429n2235,0.5,30803,98.44495666006557
"PA Northcentral 2019 B19  (McKean, QL1)",e1429n2235,1.5,125834,97.74623710602857
"PA Northcentral 2019 B19  (McKean, QL1)",e1429n2235,3.5,63066,97.66752291250435
"PA Northcentral 2019 B19  (McKean, QL1)",e1429n2235,4.5,119802,97.20956244470042
"PA Northcentral 2019 B19  (McKean, QL1)",e1429n2235,6.5,52541,96.67878418758684
"PA Northcentral 2019 B19  (McKean, QL1)",e1429n2235,7.5,87717,96.80449627780247
"PA Northcentral 2019 B19  (McKean, QL1)",e1429n2235,9.5,35821,97.30046620697357
"PA Northcentral 2019 B19  (McKean, QL1)",e1429n2235,10.5,62374,97.1574694584282
"PA Northcentral 2019 B19  (McKean, QL1)",e1429n2235,12.5,31132,96.93241680585892
"PA Northcentral 2019 B19  (McKean, QL1)",e1429n2235,13.5,62239,97.66063079419656
