area,block,tile,angle,at_ground_returns,pct_called_ground
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622593,13.5,110164,95.74361860498892
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622593,14.5,112039,92.77126714804666
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622593,15.5,118782,87.97292519068546
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622593,16.5,130311,86.2766765660612
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622593,17.5,160727,86.50817846410372
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622593,18.5,290007,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622593,19.5,8293,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622594,0.5,112072,95.84463559140552
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622594,1.5,127668,96.6358053701789
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622594,2.5,160593,97.05528883575248
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622594,3.5,128206,97.74503533375972
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622594,4.5,111047,97.80273217646582
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622594,5.5,110085,97.8389426352364
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622594,6.5,108805,97.78962363861956
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622594,7.5,108961,97.09804425436624
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622594,8.5,106566,96.17044836064036
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622594,9.5,105259,95.67067899182018
