points,lines,ground_pct,max_ang,cut,lost,flown,area,colour,tile,block
9113955,3,70.72842690138364,19.392000198364254,18.0,1045068,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF607597,Venango 2020-03
9300795,3,73.2404810556517,19.28400039672852,18.0,1081062,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF607599,Venango 2020-03
10250037,3,63.34305915188404,19.601999282836918,18.0,1394022,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF609590,Venango 2020-03
9399399,3,64.0660323069592,19.59000015258789,18.0,1033470,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF609591,Venango 2020-03
9275751,3,61.94173388224845,19.46999931335449,18.0,986865,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF609593,Venango 2020-03
10972425,3,58.17926301615185,19.607999801635746,18.0,1011207,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF609594,Venango 2020-03
10037148,3,57.04539775641448,19.47599983215332,18.0,932118,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF609596,Venango 2020-03
10005729,3,59.86355416981611,19.36199951171875,18.0,911211,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF609597,Venango 2020-03
9452448,3,65.66886165361609,19.446001052856445,18.0,1228620,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF609599,Venango 2020-03
9940824,3,65.72723750063375,18.996000289916992,18.0,987342,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF610590,Venango 2020-03
9430173,3,65.81093475167422,19.20599937438965,18.0,1004049,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF610591,Venango 2020-03
9848859,3,64.45316152866033,19.1820011138916,18.0,925725,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF610593,Venango 2020-03
10516986,3,61.94273720626803,19.314001083374023,18.0,1023378,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF610594,Venango 2020-03
10033950,3,60.01536782622995,19.59600067138672,18.0,1146489,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF610596,Venango 2020-03
11829804,3,45.89688045550036,19.59000015258789,18.0,992409,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF610597,Venango 2020-03
10365891,3,58.05327298926836,19.554000854492188,18.0,1298370,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF610599,Venango 2020-03
9543726,3,58.86697711145521,19.59000015258789,18.0,1010529,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF612590,Venango 2020-03
9693099,3,66.85700826949153,19.51799964904785,18.0,1191732,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF612591,Venango 2020-03
9804351,3,61.68659200389705,19.39800071716309,18.0,1501383,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF612593,Venango 2020-03
10378746,3,60.95065820090404,19.45199966430664,18.0,1597614,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF612594,Venango 2020-03
10390518,3,60.63254979203154,19.631999969482425,18.0,1661235,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF612596,Venango 2020-03
10966578,3,51.13182070104275,19.64400100708008,18.0,1298955,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF612597,Venango 2020-03
11619060,3,42.49456496480782,19.46999931335449,18.0,1072071,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF612599,Venango 2020-03
9689433,3,46.986557417756025,19.11599922180176,18.0,932061,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF613590,Venango 2020-03
10455624,3,56.88050756224593,19.40999984741211,18.0,1328061,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF613591,Venango 2020-03
10219383,3,61.435196234449776,19.38599967956543,18.0,1301541,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF613593,Venango 2020-03
9644970,3,60.53104364243745,19.416000366210938,18.0,1099041,2020-03-16,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF613594,Venango 2020-03
10109274,2,60.74827925328763,19.45800018310547,18.0,1150239,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF613596,Venango 2020-03
10314261,2,59.99589306495152,19.39800071716309,18.0,1112745,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF613597,Venango 2020-03
10136499,2,58.10165817606256,19.61400032043457,18.0,1155063,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF613599,Venango 2020-03
10206705,3,54.35941373832202,19.00200080871582,18.0,638745,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF615590,Venango 2020-03
12092169,2,50.1898790862086,19.39800071716309,18.0,900303,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF615591,Venango 2020-03
11220084,2,54.13734870434125,19.242000579833984,18.0,790308,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF615593,Venango 2020-03
10983798,2,61.04571478827269,19.40399932861328,18.0,1130049,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF615594,Venango 2020-03
10875654,2,60.35882531753952,19.506000518798828,18.0,1190829,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF615596,Venango 2020-03
10282458,2,61.37863145174043,19.559999465942383,18.0,1148895,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF615597,Venango 2020-03
10711023,2,61.539780093834175,19.440000534057617,18.0,1171401,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF615599,Venango 2020-03
9752652,2,45.73153025454,18.97800064086914,18.0,483249,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF616590,Venango 2020-03
9466173,2,61.69809066451669,19.242000579833984,18.0,1003404,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF616591,Venango 2020-03
10073877,2,54.63178674903416,19.625999450683597,18.0,1081380,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF616593,Venango 2020-03
10821384,2,47.634766495671904,19.6200008392334,18.0,1004973,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF616594,Venango 2020-03
11190792,2,51.55219576952194,19.48200035095215,18.0,952596,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF616596,Venango 2020-03
10262613,2,54.72272997140202,19.6200008392334,18.0,1029243,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF616597,Venango 2020-03
10130820,2,60.19707190533442,19.75200080871582,18.0,1275174,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF616599,Venango 2020-03
10121763,2,63.11407409954175,19.392000198364254,18.0,1012860,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF618591,Venango 2020-03
9426048,2,64.27386111337434,19.631999969482425,18.0,1157319,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF618593,Venango 2020-03
8923287,2,70.74924296394367,19.75200080871582,18.0,1272714,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF618594,Venango 2020-03
11013879,2,53.14667066888968,19.739999771118164,18.0,1172328,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF618596,Venango 2020-03
11017986,2,57.02449612842129,19.48200035095215,18.0,1120836,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF618597,Venango 2020-03
11214732,2,59.577143707045344,19.554000854492188,18.0,1259229,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF618599,Venango 2020-03
8714043,2,65.9184605813857,19.332000732421875,18.0,829809,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF619591,Venango 2020-03
8855007,2,67.70074828851067,19.59600067138672,18.0,1119189,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF619593,Venango 2020-03
9007455,2,70.44411545769587,19.59000015258789,18.0,1251594,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF619594,Venango 2020-03
9217983,2,67.04289864713354,19.72800064086914,18.0,1198389,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF619596,Venango 2020-03
9332886,2,65.27775009787969,19.763999938964844,18.0,1139322,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF619597,Venango 2020-03
10395990,2,61.561438593149866,19.36199951171875,18.0,1093761,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF619599,Venango 2020-03
8883825,2,51.20990114055601,19.13400077819824,18.0,590670,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF621591,Venango 2020-03
10590120,2,55.57880363961881,19.64400100708008,18.0,1056729,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF621593,Venango 2020-03
8956341,2,67.56968052020352,19.757999420166016,18.0,1158525,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF621594,Venango 2020-03
9366105,2,67.0736234539331,19.81800079345703,18.0,1347453,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF621596,Venango 2020-03
9324513,2,63.85909912935935,19.992000579833984,18.0,1345794,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF621597,Venango 2020-03
10708455,2,58.79021763643775,19.80599975585937,18.0,1370454,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF621599,Venango 2020-03
8486154,2,54.807442806246506,18.833999633789062,18.0,573879,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF622591,Venango 2020-03
9700200,2,64.00748438176532,19.05599975585937,18.0,894900,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF622593,Venango 2020-03
9717579,2,60.74491393381005,19.29599952697754,18.0,946557,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF622594,Venango 2020-03
9273633,2,63.086990826572496,19.535999298095703,18.0,1044663,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF622596,Venango 2020-03
9344796,2,65.52887831901306,19.6200008392334,18.0,1152045,2020-03-18,"PA WesternPA 2019 D20  (Venango, QL2)",#1F5FA8,17TPF622597,Venango 2020-03
