epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
55,4527.94,0.83269,1.5569,0.65255,1.07103,0,0.77203,0.52704,0.5848,0.35562,0.78176,0.53642,0.59739,0.32119,1.58878,2.75033,1.38321,1.66741,0,0.0009308,0.0009308,0.0009308
56,4608.34,0.81881,1.53255,0.63507,1.05776,0,0.73075,0.51325,0.57745,0.34858,0.75396,0.51325,0.57779,0.31896,1.56211,2.81852,1.40287,1.65502,0,0.000911,0.000911,0.000911
57,4688.93,0.82767,1.53304,0.64616,1.06297,0,0.61812,0.53974,0.55406,0.34028,0.6522,0.55884,0.5701,0.31282,1.55776,2.86202,1.39258,1.63934,0,0.0008912,0.0008912,0.0008912
58,4770.35,0.82118,1.54999,0.64493,1.05579,0,0.68212,0.52318,0.5591,0.33668,0.7044,0.53974,0.57774,0.30603,1.55238,2.86164,1.49917,1.62813,0,0.0008714,0.0008714,0.0008714
59,4854.35,0.80425,1.51018,0.63057,1.04929,0,0.75953,0.4811,0.5604,0.33634,0.78183,0.49837,0.57144,0.31193,1.55157,2.89377,1.49221,1.62583,0,0.0008516,0.0008516,0.0008516
60,4940.93,0.80282,1.50088,0.61707,1.05141,0,0.69634,0.5543,0.57637,0.34137,0.71339,0.54967,0.5856,0.31427,1.5868,2.89454,1.41657,1.65171,0,0.0008318,0.0008318,0.0008318
61,5029.45,0.78583,1.46976,0.60133,1.04252,0,0.74126,0.53311,0.58599,0.3588,0.78592,0.5298,0.59568,0.32021,1.55259,2.81549,1.36107,1.66717,0,0.000812,0.000812,0.000812
62,5116.19,0.79053,1.46443,0.60976,1.04857,0,0.81384,0.50993,0.6077,0.35975,0.84061,0.52649,0.61859,0.32881,1.55542,2.9893,1.25281,1.64102,0,0.0007922,0.0007922,0.0007922
63,5205.11,0.77977,1.45859,0.59768,1.04106,0,0.69066,0.52318,0.56717,0.34193,0.76392,0.50993,0.57575,0.32257,1.57352,2.88667,1.4135,1.63079,0,0.0007724,0.0007724,0.0007724
64,5289.16,0.78319,1.48623,0.60958,1.04135,0,0.7426,0.53498,0.58359,0.36177,0.76099,0.54823,0.59978,0.3258,1.53671,2.78311,1.37878,1.65686,0,0.0007526,0.0007526,0.0007526
65,5375.71,0.77285,1.45578,0.59877,1.03945,0,0.72582,0.56623,0.60369,0.37291,0.72582,0.56623,0.59851,0.33416,1.5197,2.79187,1.33634,1.58553,0,0.0007328,0.0007328,0.0007328
