wp_id,bbox_score,geometry
65,0.510628879070282,"POLYGON ((-105.2479355195286 40.29780592001494, -105.2479361958169 40.29781646050588, -105.2479361958169 40.29854429824867, -105.2479355195291 40.29855483868013, -105.2479217533296 40.29855535654766, -105.247078907347 40.29855535654766, -105.2470651411475 40.29855483868013, -105.2470644648592 40.29854429824852, -105.2470644648592 40.29781646050601, -105.247065141148 40.29780592001492, -105.247078907278 40.29780540224314, -105.247921753399 40.29780540224316, -105.2479355195286 40.29780592001494))"
66,0.578106164932251,"POLYGON ((-105.2491988941539 40.51173766435618, -105.2491995725858 40.51174820444881, -105.2491995725858 40.51213215942408, -105.2491988941559 40.51214269947141, -105.2491850843652 40.51214321730839, -105.248547861045 40.51214321730839, -105.2485340512541 40.51214269947142, -105.2485333728239 40.51213215942385, -105.2485333728239 40.51174820444904, -105.2485340512561 40.51173766435619, -105.2485478610271 40.51173714659229, -105.2491850843831 40.51173714659227, -105.2491988941539 40.51173766435618))"
67,0.6325799226760864,"POLYGON ((-105.2455057331285 39.81657250289546, -105.2455064046762 39.81658304426598, -105.2455064046763 39.81760321803188, -105.2455057331265 39.81761375934042, -105.2454920633682 39.81761427725282, -105.2446099851989 39.8176142772528, -105.2445963154406 39.81761375934045, -105.24459564389 39.81760321803181, -105.24459564389 39.81658304426597, -105.2445963154386 39.81657250289545, -105.2446099850751 39.81657198508223, -105.245492063492 39.8165719850822, -105.2455057331285 39.81657250289546))"
69,0.5757848620414734,"POLYGON ((-105.246062994621 40.10671075631191, -105.2460636690108 40.10672129713341, -105.2460636690108 40.10695420645783, -105.2460629946213 40.10696474725862, -105.246049267092 40.1069652651116, -105.2457726377473 40.1069652651116, -105.245758910218 40.10696474725864, -105.2457582358283 40.10695420645779, -105.2457582358284 40.10672129713343, -105.2457589102183 40.1067107563119, -105.2457726377252 40.10671023849119, -105.2460492671141 40.1067102384912, -105.246062994621 40.10671075631191))"
70,0.741600751876831,"POLYGON ((-105.245249165038 40.11140580676022, -105.2452498394753 40.11141634758207, -105.2452498394753 40.11176362948056, -105.2452491650395 40.11177417026458, -105.2452354365547 40.11177468813128, -105.2447051387906 40.11177468813131, -105.2446914103058 40.1117741702646, -105.2446907358697 40.11176362948049, -105.2446907358697 40.11141634758211, -105.2446914103072 40.11140580676023, -105.2447051387703 40.11140528895408, -105.2452354365751 40.11140528895405, -105.245249165038 40.11140580676022))"
71,0.8337260484695435,"POLYGON ((-105.2452015495232 40.21158763853573, -105.2452022249528 40.21159817917762, -105.2452022249528 40.21199833115748, -105.2452015495249 40.21200887175569, -105.24518780084 40.21200938961837, -105.2445701945524 40.21200938961836, -105.2445564458676 40.21200887175569, -105.2445557704393 40.21199833115735, -105.2445557704393 40.21159817917776, -105.2445564458693 40.21158763853571, -105.24457019453 40.21158712074346, -105.2451878008626 40.21158712074349, -105.2452015495232 40.21158763853573))"
72,0.6014784574508667,"POLYGON ((-105.2462411369956 40.29286929016195, -105.2462418132326 40.29287983064638, -105.2462418132326 40.29322451276735, -105.2462411369955 40.29323505322545, -105.2462273718517 40.29323557106625, -105.2458709145719 40.29323557106627, -105.2458571494282 40.29323505322547, -105.2458564731908 40.29322451276726, -105.2458564731908 40.29287983064638, -105.2458571494281 40.29286929016195, -105.245870914534 40.29286877236247, -105.2462273718897 40.29286877236246, -105.2462411369956 40.29286929016195))"
73,0.7343040108680725,"POLYGON ((-105.2469333966934 40.36493456814158, -105.2469340736489 40.36494510848527, -105.2469340736489 40.36504889670788, -105.2469333966933 40.36505943704319, -105.2469196169377 40.36505995486279, -105.2468266931669 40.36505995486279, -105.2468129134113 40.36505943704319, -105.2468122364556 40.36504889670781, -105.2468122364556 40.36494510848527, -105.2468129134112 40.36493456814156, -105.2468266931525 40.36493405033382, -105.246919616952 40.36493405033382, -105.2469333966934 40.36493456814158))"
74,0.6193814873695374,"POLYGON ((-105.2476144648856 40.36854075270238, -105.2476151418797 40.36855129305879, -105.2476151418797 40.36899169748396, -105.2476144648874 40.36900223779236, -105.2476006843569 40.36900275564441, -105.246922946736 40.3690027556444, -105.2469091662052 40.36900223779235, -105.2469084892126 40.36899169748381, -105.2469084892126 40.36855129305884, -105.2469091662071 40.36854075270235, -105.2469229467105 40.36854023492772, -105.2476006843824 40.36854023492774, -105.2476144648856 40.36854075270238))"
82,0.4865744113922119,"POLYGON ((-105.2449855271926 40.26035564217442, -105.2449862031072 40.26036618272861, -105.2449862031072 40.26060637242936, -105.2449855271962 40.26061691293778, -105.2449717686785 40.26061743079801, -105.2443207556286 40.26061743079803, -105.2443069971105 40.26061691293779, -105.2443063211993 40.26060637242914, -105.2443063211993 40.26036618272874, -105.2443069971141 40.26035564217443, -105.2443207556434 40.26035512438845, -105.2449717686637 40.26035512438845, -105.2449855271926 40.26035564217442))"
