OBJECTID_1,Well_ident,State,County,Well_name,Well_numbe,Type,Status,Latitude,Longitude,Prime_meri,Township,T_dir,Range,R_dir,Section,Qtr,Qtr_qtr,Qtr_qtr_qt,Source,Data_file_date,Well_info,Location_n,Other_note,x,y
,API:37121220410000,Pennsylvania,Venango,WOIDECK 24Q,,,Orphan,41.498688000000001,-79.517109000000005,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.517108999580600,41.498687999651501
,API:37121220440000,Pennsylvania,Venango,WOIDECK 27Q,,,Orphan,41.498824999999997,-79.518752000000006,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.518751999804905,41.498824999674099
,API:37121298830000,Pennsylvania,Venango,WOIDECK 145Q,,,Orphan,41.498894000000000,-79.516653000000005,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.516653000135804,41.498894000158003
,API:37121203150000,Pennsylvania,Venango,DONOVAN OR STEWART RUN CLUB 4,,,Orphan,41.499097999999996,-79.526053000000005,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.526053000145794,41.499097999672998
,API:37121204710000,Pennsylvania,Venango,DONOVAN OR STEWART RUN CLUB 16,,,Orphan,41.499248999999999,-79.526668999999998,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: Allegheny Twp,,-79.526668999774500,41.499249000341102
,API:37121046280000,Pennsylvania,Venango,Sanford Farm,,,Orphan,41.499450000000003,-79.520624999999995,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp.,,-79.520624999843804,41.499449999717697
,API:37121298860000,Pennsylvania,Venango,WOIDECK 149Q,,,Orphan,41.499648999999998,-79.514554000000004,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.514553999567397,41.499648999901503
,API:37121220430000,Pennsylvania,Venango,WOIDECK 26Q,,,Orphan,41.499786000000000,-79.520212000000001,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.520211999683994,41.499785999924001
,API:37121220300000,Pennsylvania,Venango,WOIDECK 13Q,,,Orphan,41.499786000000000,-79.517657000000000,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.517656999670706,41.499785999924001
,API:37121298850000,Pennsylvania,Venango,WOIDECK 148Q,,,Orphan,41.499786000000000,-79.515923000000001,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.515922999746607,41.499785999924001
,API:37121338030000,Pennsylvania,Venango,WOIDECK 2130,,,Orphan,41.499853999999999,-79.522767000000002,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.522766999697197,41.499854000361900
,API:37121298910000,Pennsylvania,Venango,WOIDECK 194Q,,,Orphan,41.499853999999999,-79.519846999999999,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.519846999939006,41.499854000361900
,API:37121337900000,Pennsylvania,Venango,WOIDECK 132Q,,,Orphan,41.499920000000003,-79.532441000000006,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.532440999752296,41.499919999808199
,API:37121220290000,Pennsylvania,Venango,WOIDECK 11Q,,,Orphan,41.499991999999999,-79.516197000000005,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.516196999791603,41.499992000430602
,API:37121203140000,Pennsylvania,Venango,DONOVAN OR STEWART RUN CLUB 5,,,Orphan,41.500219000000001,-79.526826999999997,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.526826999866103,41.500219000106803
,API:37121203000000,Pennsylvania,Venango,DONOVAN (STEWART RUN CLUB) 2,,,Orphan,41.500235000000004,-79.528039000000007,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.528038999999794,41.500234999945299
,API:37121203020000,Pennsylvania,Venango,DONOVAN (STEWART RUN CLUB) 1,,,Orphan,41.500273999999997,-79.523617999999999,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.523618000270503,41.500273999945200
,API:37121298900000,Pennsylvania,Venango,WOIDECK 193Q,,,Orphan,41.500287000000000,-79.517291999999998,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.517291999925803,41.500286999645397
,API:37121225600000,Pennsylvania,Venango,WOIDECK 55Q,,,Orphan,41.500560999999998,-79.516197000000005,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.516196999791603,41.500560999690400
,API:37121203130000,Pennsylvania,Venango,DONOVAN OR STEWART RUN CLUB 3,,,Orphan,41.500639000000000,-79.526315999999994,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.526315999683604,41.500638999690104
,API:37121203480000,Pennsylvania,Venango,DONOVAN OR STEWART RUN CLUB 6,,,Orphan,41.500760000000000,-79.525593000000001,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.525592999617203,41.500759999874198
,API:37121225630000,Pennsylvania,Venango,WOIDECK 58Q,,,Orphan,41.500835000000002,-79.519481999999996,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.519482000194103,41.500834999735503
,API:37121203490000,Pennsylvania,Venango,DONOVAN OR STEWART RUN CLUB 7,,,Orphan,41.500988000000000,-79.524454000000006,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.524454000151906,41.500987999596497
,API:37121337920000,Pennsylvania,Venango,WOIDECK 134Q,,,Orphan,41.501106999999998,-79.530799000000002,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.530798999574102,41.501106999688297
,API:37121338050000,Pennsylvania,Venango,WOIDECK 2150,,,Orphan,41.501109000000000,-79.521124999999998,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.521125000418394,41.501108999780598
,API:37121298870000,Pennsylvania,Venango,WOIDECK 150Q,,,Orphan,41.501109999999997,-79.517657000000000,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.517656999670706,41.501109999826703
