OBJECTID,Well_ident,State,County,Well_name,Well_numbe,Type,Status,Latitude,Longitude,Prime_meri,Township,T_dir,Range,R_dir,Section,Qtr,Qtr_qtr,Qtr_qtr_qt,Source,Data_file_date,Well_info,Location_n,Other_note,x,y
100423,API:37121265400000,Pennsylvania,Venango,EICHE DEAN 96Q,,,Orphan,41.501503000000000,-79.540284999999997,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.540284999952704,41.501502999963499
100424,API:37121265410000,Pennsylvania,Venango,EICHE DEAN 97Q,,,Orphan,41.503964000000003,-79.540180000000007,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.540179999607204,41.503964000138502
100425,API:37121265420000,Pennsylvania,Venango,EICHE DEAN 98Q,,,Orphan,41.502751000000004,-79.538820999999999,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.538820999889197,41.502750999958700
100426,API:37121265430000,Pennsylvania,Venango,EICHE DEAN 101Q,,,Orphan,41.500509000000001,-79.538807000000006,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.538807000142896,41.500508999990402
100427,API:37121265440000,Pennsylvania,Venango,EICHE DEAN 102Q,,,Orphan,41.498209000000003,-79.538824000000005,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.538824000027503,41.498209000045399
100428,API:37121265450000,Pennsylvania,Venango,EICHE DEAN 103Q,,,Orphan,41.496200999999999,-79.538809999999998,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.538810000281302,41.496201000076198
100429,API:37121265460000,Pennsylvania,Venango,EICHE DEAN 104Q,,,Orphan,41.493780999999998,-79.538435000000007,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.538435000075097,41.493780999993199
100430,API:37121265470000,Pennsylvania,Venango,EICHE DEAN 105Q,,,Orphan,41.504711999999998,-79.549941000000004,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.549941000077098,41.504711999559198
100432,API:37121265490000,Pennsylvania,Venango,EICHE DEAN 107Q,,,Orphan,41.504886999999997,-79.547891000000007,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.547890999969596,41.504887000434799
100433,API:37121265500000,Pennsylvania,Venango,EICHE DEAN 108Q,,,Orphan,41.505023000000001,-79.544934999999995,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.544935000349895,41.505023000411200
100434,API:37121265510000,Pennsylvania,Venango,EICHE DEAN 109Q,,,Orphan,41.505181000000000,-79.541518999999994,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.541519000201703,41.505180999603503
101184,API:37121319100000,Pennsylvania,Venango,HAMMERMILL PAPER CO I4,,,Orphan,41.495755000000003,-79.550357000000005,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.550357000375200,41.495755000193199
101262,API:37121321060000,Pennsylvania,Venango,EICHE DEAN 160Q,,,Orphan,41.502803000000000,-79.549305000000004,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.549305000425406,41.502802999658698
101264,API:37121321080000,Pennsylvania,Venango,EICHE DEAN 162Q,,,Orphan,41.501434000000003,-79.547454999999999,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.547454999648494,41.501434000378900
101265,API:37121321090000,Pennsylvania,Venango,EICHE DEAN 163Q,,,Orphan,41.500317000000003,-79.548885999999996,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.548885999988897,41.500317000129499
101266,API:37121321100000,Pennsylvania,Venango,EICHE DEAN 164Q,,,Orphan,41.499059000000003,-79.547533000000001,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.547532999648197,41.499058999673103
