fold,prob_threshold,n_pred_heldout,n_heldout,recall_iou30,precision_iou30,f1_iou30,recall_iou50,locate,locate_hits
4,0.15,210,130,0.25384615384615383,0.15714285714285714,0.19411764705882353,0.06923076923076923,0.3076923076923077,40
4,0.2,205,130,0.3923076923076923,0.24878048780487805,0.3044776119402985,0.14615384615384616,0.43846153846153846,57
4,0.25,203,130,0.45384615384615384,0.29064039408866993,0.35435435435435436,0.23076923076923078,0.5076923076923077,66
4,0.3,194,130,0.5538461538461539,0.3711340206185567,0.4444444444444445,0.3,0.6,78
4,0.35,212,130,0.7,0.42924528301886794,0.5321637426900585,0.4230769230769231,0.6923076923076923,90
4,0.4,216,130,0.8538461538461538,0.5138888888888888,0.6416184971098264,0.5230769230769231,0.8,104
4,0.45,210,130,0.8769230769230769,0.5428571428571428,0.6705882352941177,0.6076923076923076,0.8538461538461538,111
4,0.5,201,130,0.9230769230769231,0.5970149253731343,0.7250755287009063,0.7,0.9153846153846154,119
4,0.55,198,130,0.9230769230769231,0.6060606060606061,0.7317073170731707,0.7846153846153846,0.9153846153846154,119
4,0.6,197,130,0.9384615384615385,0.6192893401015228,0.746177370030581,0.8538461538461538,0.9384615384615385,122
4,0.65,182,130,0.9,0.6428571428571429,0.75,0.7076923076923077,0.9384615384615385,122
4,0.7,169,130,0.7384615384615385,0.5680473372781065,0.6421404682274248,0.49230769230769234,0.8692307692307693,113
4,0.75,128,130,0.4846153846153846,0.4921875,0.4883720930232558,0.26153846153846155,0.7461538461538462,97
4,0.8,75,130,0.23076923076923078,0.4,0.29268292682926833,0.09230769230769231,0.46153846153846156,60
4,0.85,31,130,0.038461538461538464,0.16129032258064516,0.06211180124223603,0.0,0.16153846153846155,21
