model,kind,mode,iou,threshold,n_gt_test,n_det_raw,n_det_scored,tp,recall_as_is,recall,precision_as_is,precision,f1_as_is,f1
plat_unet,pad,prob,0.05,0.6,87,1222,129,79,0.9425287356321839,0.9080459770114943,0.06710310965630115,0.6124031007751938,0.1252864782276547,0.7314814814814815
plat_unet,pad,prob,0.1,0.6,87,1222,129,78,0.9425287356321839,0.896551724137931,0.06710310965630115,0.6046511627906976,0.1252864782276547,0.7222222222222221
plat_unet,pad,prob,0.2,0.6,87,1222,129,78,0.9425287356321839,0.896551724137931,0.06710310965630115,0.6046511627906976,0.1252864782276547,0.7222222222222221
plat_unet,pad,prob,0.3,0.6,87,1222,129,73,0.9310344827586207,0.8390804597701149,0.0662847790507365,0.5658914728682171,0.12375859434682963,0.6759259259259259
plat_unet,pad,prob,0.4,0.6,87,1222,129,67,0.896551724137931,0.7701149425287356,0.06382978723404255,0.5193798449612403,0.11917494270435446,0.6203703703703705
plat_unet,pad,prob,0.5,0.6,87,1222,129,59,0.7931034482758621,0.6781609195402298,0.05646481178396072,0.4573643410852713,0.10542398777692896,0.5462962962962963
plat_unet,pad,prob,0.6,0.6,87,1222,129,49,0.6436781609195402,0.5632183908045977,0.04582651391162029,0.3798449612403101,0.0855614973262032,0.4537037037037037
plat_unet,pad,prob,0.7,0.6,87,1222,129,33,0.3563218390804598,0.3793103448275862,0.02536824877250409,0.2558139534883721,0.04736440030557678,0.3055555555555556
plat_unet,pad,prob,0.8,0.6,87,1222,129,10,0.11494252873563218,0.11494252873563218,0.008183306055646482,0.07751937984496124,0.015278838808250574,0.09259259259259259
plat_unet,pad,prob,0.9,0.6,87,1222,129,0,0.011494252873563218,0.0,0.0008183306055646482,0.0,0.0015278838808250573,0.0
