path,verdict,why,imports,imported_by,executed,cited,documented,has_v2_twin
notebooks/wellsight_v2/eval/_road_threshold_products_9t.py,ACTIVE,R7 via notebooks/wellsight_v2/eval/_score_road_pred_vs_roads_shp_613590.py,1,0,6,1,0,0
notebooks/wellsight_v2/eval/_score_road_pred_vs_roads_shp_613590.py,ACTIVE,R3 Reproduce:,0,0,2,1,0,0
notebooks/wellsight_v2/eval/_style_heldout_gpkg.py,ORPHAN,,0,0,1,0,0,0
notebooks/wellsight_v2/eval/_threshold_common.py,ACTIVE,R7 via notebooks/wellsight_v2/eval/_road_threshold_products_9t.py,0,2,0,1,0,0
notebooks/wellsight_v2/eval/_uncounted_well_recovery_9t.py,ORPHAN,,0,0,4,0,0,0
notebooks/wellsight_v2/multitask/_multitask_unet.py,HISTORICAL,,2,0,10,1,0,0
notebooks/wellsight_v2/pits/_pit_maskrcnn.py,HISTORICAL,,2,3,1,1,0,0
notebooks/wellsight_v2/pits/_pit_maskrcnn_infer.py,HISTORICAL,,3,1,2,1,0,0
notebooks/wellsight_v2/pits/_pit_unet_cv5.py,ACTIVE,R7 via notebooks/wellsight_v2/eval/_map_cv5_unmatched_pit_thr0p50_9t.py,2,5,7,1,0,0
notebooks/wellsight_v2/pits/_pit_unet_v2.py,ACTIVE,R7 via notebooks/wellsight_v2/_dl.py,2,0,6,1,0,0
notebooks/wellsight_v2/pits/_pit_unet_v2_infer.py,ORPHAN,,2,0,7,0,0,0
notebooks/wellsight_v2/pits/_pit_yolo.py,HISTORICAL,,2,0,2,1,0,0
notebooks/wellsight_v2/pits/_pit_yolo_infer.py,HISTORICAL,,2,0,2,1,0,0
notebooks/wellsight_v2/pits/_stack_features.py,ACTIVE,R7 via notebooks/wellsight_v2/_dl.py,1,0,0,0,0,0
notebooks/wellsight_v2/plats/_pad_maskrcnn.py,HISTORICAL,,3,0,1,1,0,0
notebooks/wellsight_v2/plats/_pad_maskrcnn_infer.py,HISTORICAL,,4,0,2,1,0,0
notebooks/wellsight_v2/plats/_pad_unet_cv5.py,HISTORICAL,,2,1,7,1,0,0
notebooks/wellsight_v2/plats/_pad_unet_infer_grid.py,HISTORICAL,,2,0,2,1,0,0
notebooks/wellsight_v2/plats/_pad_yolo.py,ORPHAN,,2,0,2,0,0,0
notebooks/wellsight_v2/plats/_pad_yolo_infer.py,ORPHAN,,2,0,2,0,0,0
notebooks/wellsight_v2/plats/_plat_unet.py,ACTIVE,R7 via notebooks/wellsight_v2/_dl.py,2,0,7,1,0,0
notebooks/wellsight_v2/roads/_build_orient_labels.py,ACTIVE,R2 ui/registry; R3 Reproduce:,1,0,8,1,0,0
notebooks/wellsight_v2/roads/_build_road_corrections_613590.py,ACTIVE,R3 Reproduce:,1,0,4,1,0,0
notebooks/wellsight_v2/roads/_compare_corrected_613590.py,ACTIVE,R3 Reproduce:,1,0,6,1,0,0
notebooks/wellsight_v2/roads/_prep_road_1m.py,ACTIVE,R7 via tools/audit_script_usage.py,1,0,1,1,0,0
notebooks/wellsight_v2/roads/_rebuild_labels_road_9t_1m.py,ACTIVE,R3 Reproduce:,1,0,4,1,0,0
notebooks/wellsight_v2/roads/_road_infer.py,ACTIVE,R2 ui/registry,2,0,0,0,0,0
notebooks/wellsight_v2/roads/_road_sweep_202607.py,ACTIVE,R2 ui/registry,3,0,28,1,0,0
notebooks/wellsight_v2/roads/_road_sweep_aggregate.py,ACTIVE,R2 ui/registry; R3 Reproduce:,1,0,1,1,0,0
notebooks/wellsight_v2/roads/_road_unet_1m_corrected.py,ACTIVE,R7 via notebooks/wellsight_v2/roads/_road_sweep_202607.py,2,1,15,1,0,0
notebooks/wellsight_v2/roads/_road_unet_1m_recall.py,HISTORICAL,,2,0,8,1,0,0
roads_studio/__init__.py,ACTIVE,R7 via roads_studio/app.py,0,1,0,0,0,0
roads_studio/app.py,ACTIVE,R5 streamlit,1,1,0,0,0,0
roads_studio/core.py,ACTIVE,R7 via tools/audit_script_usage.py,0,0,0,0,0,0
roads_studio/main.py,ACTIVE,R1 .bat,1,0,0,0,0,0
roads_studio/train.py,UNREFERENCED,,0,0,0,0,0,0
tests/__init__.py,UNREFERENCED,,0,0,0,0,0,0
tests/conftest.py,ACTIVE,R4 pytest,0,0,0,0,0,0
tests/preprocessing/__init__.py,UNREFERENCED,,0,0,0,0,0,0
tests/preprocessing/test_cornrow_filter.py,ACTIVE,R4 pytest,1,0,0,0,0,0
tools/apply_moves.py,ACTIVE,R7 via tools/find_duplicates.py,0,0,1,0,0,0
tools/audit_script_usage.py,ACTIVE,R3 Reproduce:,0,0,2,0,0,0
tools/build_reference_index.py,ACTIVE,R3 Reproduce:,0,0,2,0,0,0
tools/find_duplicates.py,ACTIVE,R3 Reproduce:,0,0,3,0,0,0
tools/find_unused_scripts.py,ACTIVE,R3 Reproduce:,0,0,1,0,0,0
tools/plan_archive.py,ACTIVE,R3 Reproduce:,0,0,2,0,0,0
tools/plan_consolidation.py,ACTIVE,R3 Reproduce:,0,0,5,0,0,0
tools/rewrite_qgis_paths.py,ORPHAN,,0,0,1,0,0,0
tools/verify_backup.py,ACTIVE,R3 Reproduce:,0,0,1,0,0,0
tools/verify_paths.py,ACTIVE,R3 Reproduce:,0,0,2,0,0,0
ui/app.py,ACTIVE,R1 .bat; R5 streamlit,3,0,0,0,0,0
ui/jobs.py,ACTIVE,R7 via ui/state.py,1,1,0,0,0,0
ui/pages/1_Roads.py,ACTIVE,R5 streamlit,3,0,0,0,0,0
ui/pages/2_Analysis.py,ACTIVE,R5 streamlit,3,0,0,0,0,0
ui/pages/3_Jobs.py,ACTIVE,R5 streamlit,3,0,0,0,0,0
ui/paths.py,ACTIVE,R7 via ui/app.py,1,4,6,0,0,0
ui/registry.py,ACTIVE,R7 via tools/find_unused_scripts.py,1,3,1,0,0,0
ui/state.py,ACTIVE,R7 via ui/app.py,2,3,0,0,0,0
ui/style.py,ACTIVE,R7 via ui/pages/1_Roads.py,0,5,0,0,0,0
ui/widgets.py,ACTIVE,R7 via ui/pages/1_Roads.py,3,3,0,0,0,0
