epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
69,7606.23,0.50233,0.93703,0.32273,0.83253,0,0.93119,0.89858,0.94602,0.47147,0.87246,0.84084,0.8458,0.35105,1.6429,4.60826,0.6981,1.40725,0,0.000544776,0.000544776,0.000544776
70,7715.25,0.49716,0.93809,0.31825,0.83359,0,0.95025,0.90129,0.94766,0.4717,0.89151,0.84307,0.84841,0.34961,1.62654,4.39664,0.67784,1.40516,0,0.000528272,0.000528272,0.000528272
71,7825.73,0.49227,0.92482,0.31891,0.82752,0,0.90628,0.9248,0.94401,0.46414,0.84226,0.85945,0.83498,0.33831,1.62899,4.53802,0.69942,1.4117,0,0.000511769,0.000511769,0.000511769
72,7931.18,0.49187,0.92048,0.32031,0.82679,0,0.91938,0.89463,0.92414,0.46867,0.88029,0.85406,0.85476,0.35544,1.66862,4.4092,0.73441,1.43355,0,0.000495266,0.000495266,0.000495266
73,8042.44,0.48651,0.89981,0.31146,0.82935,0,0.91921,0.89701,0.91686,0.47188,0.87069,0.84747,0.84445,0.34954,1.63967,4.56739,0.7405,1.41388,0,0.000478762,0.000478762,0.000478762
74,8152.87,0.47275,0.89008,0.30596,0.82289,0,0.94699,0.85767,0.91057,0.45226,0.90113,0.81607,0.83746,0.34515,1.64002,4.59446,0.76432,1.43164,0,0.000462259,0.000462259,0.000462259
75,8263.81,0.48426,0.90548,0.31546,0.82582,0,0.92136,0.90484,0.93992,0.46958,0.88839,0.84783,0.86928,0.35734,1.62524,4.56416,0.66018,1.41185,0,0.000445756,0.000445756,0.000445756
76,8372.36,0.47833,0.90576,0.30912,0.82762,0,0.92859,0.89541,0.94412,0.47093,0.86037,0.84228,0.85003,0.34506,1.63565,4.6328,0.6971,1.42667,0,0.000429253,0.000429253,0.000429253
77,8480.84,0.47148,0.89018,0.305,0.82383,0,0.92876,0.91416,0.93055,0.46836,0.87467,0.85389,0.84907,0.35589,1.64207,4.62255,0.72542,1.42934,0,0.000412749,0.000412749,0.000412749
78,8593.25,0.46535,0.88278,0.30803,0.82355,0,0.92539,0.90491,0.92231,0.46668,0.86764,0.85194,0.84171,0.34639,1.63379,4.57445,0.73857,1.42321,0,0.000396246,0.000396246,0.000396246
