length_m,class,faint_score,margin_sigma,n_transects,P_road,split,opos_zcontrast,lrm25_zcontrast,tpi15_zcontrast,slope_zcontrast,relief10_zcontrast,oneg_zcontrast,incision_depth_m
66.52645980083135,bold,-2.477,0.742,6,0.8869739770889282,train,-2.4774656,-0.08191973,0.22278188,0.48456824,4.5451875,-1.7389951,1.0651271
213.49796611875632,faint,-1.603,-0.133,21,0.8585414886474609,train,-1.6027594,-1.4495791,-1.1570321,0.19683714,0.9330677,-0.098190375,0.52668846
329.72264265095805,bold,-1.839,0.104,32,0.8909657597541809,train,-1.8394783,-1.2363502,-1.3371956,-0.4248055,-0.11548391,-1.6466825,0.69834614
452.78453032031115,faint,-0.394,-1.342,45,0.9694225788116455,train,-0.39352426,-0.5089303,-0.8400236,-0.19745538,0.3895369,-1.4766814,0.73475647
219.54670944898805,faint,-0.584,-1.152,21,0.9697848558425903,val,-0.58382034,-0.47849783,-1.0340325,-1.6487286,-0.8247706,0.06474764,0.6620372
160.53720631902382,faint,-1.527,-0.208,16,0.7958636283874512,test,-1.5273137,-1.9129765,-1.5457087,0.08691026,-0.3083763,-0.6683428,0.40308565
41.55285982397113,faint,-0.915,-0.82,4,0.8495253324508667,test,-0.91507006,0.30708405,0.3760714,0.44930792,3.6991096,-1.8226795,0.5568876
147.32787520001335,bold,-5.357,3.621,14,0.8897222280502319,train,-5.3566484,-2.4530833,-1.9070854,1.2287664,0.24275687,-3.5003943,0.5058884
143.5296200000341,bold,-3.5,1.765,14,0.8401296138763428,train,-3.500235,-1.6112518,-1.6372039,0.17191812,-0.40133175,-0.7603978,0.3403626
49.070175240201195,bold,-1.894,0.158,4,0.9130056500434875,train,-1.893631,-0.9200301,-1.3950197,-0.32162878,-0.07872632,-0.585239,0.47340378
40.37647686837989,bold,-3.477,1.741,4,0.9191043376922607,train,-3.4765797,-2.0403044,-1.9364882,1.1250405,-0.2701061,-0.7705847,0.82889926
60.5310558422941,faint,-1.351,-0.385,6,0.9089056253433228,train,-1.3508074,-0.819664,-1.7302055,-0.21034333,0.45699066,0.23273236,0.6855171
173.64971179543255,bold,-1.959,0.224,17,0.9858962893486023,train,-1.9594002,-1.4064991,-0.59306717,-0.6041433,-0.20640038,-0.47841468,0.9146831
161.6524908597048,bold,-3.287,1.551,16,0.8518585562705994,val,-3.286848,-3.371142,-1.755711,-0.28530312,-0.3479526,-0.65564704,0.5919194
61.53081654297891,bold,-2.375,0.639,6,0.9112666249275208,val,-2.3747272,-1.43401,-0.7700726,-1.5329047,0.9308613,-1.7220575,1.1705309
66.27258294730696,bold,-3.52,1.785,6,0.9768615961074829,train,-3.5202367,-1.3699561,-1.1482447,0.03461441,0.9586861,0.124305464,0.6746114
125.26157831396422,faint,-0.374,-1.361,12,0.9282266497612,train,-0.37436193,-0.2849366,0.023151474,-0.06476395,-0.29579297,-0.09215225,0.58886594
156.29786349932436,faint,-1.14,-0.596,15,0.9315024018287659,train,-1.1396012,-0.21133098,-0.1403255,-0.11176898,-0.57028234,-0.31570184,0.7687912
117.03754992641723,bold,-3.282,1.546,11,0.8018686175346375,test,-3.2818327,-1.170913,-1.4609506,-0.91443485,0.4455347,-1.2908195,1.3031237
48.9452388405672,faint,-1.473,-0.263,4,0.9519484043121338,val,-1.4726274,-0.7095301,-1.1774151,-1.2505424,0.03943552,-0.6116032,0.745702
