parent_road,length_m,class,faint_score,margin_sigma,n_transects,exlabel,P_road,split,opos_zcontrast,lrm25_zcontrast,tpi15_zcontrast,slope_zcontrast,relief10_zcontrast,oneg_zcontrast,incision_depth_m
15,70.95928575,faint,-0.522,-1.063,14,unlabelled,0.958933473,train,-0.52196074,-0.72877926,-0.40299493,-0.29087463,-0.22937122,-0.021426082,0.3556871
16,48.17839772,bold,-3.243,1.658,9,unlabelled,0.927135825,val,-3.243252,-0.6978892,-1.0554415,-2.4222376,-0.7220841,-1.1946344,0.69456446
16,48.17410165,bold,-2.456,0.871,9,unlabelled,0.964397848,val,-2.4561408,-0.61594737,-0.9611885,-0.73014504,-0.03980905,-0.41715673,0.68432546
16,48.19584084,bold,-2.358,0.773,9,unlabelled,0.933683395,train,-2.358195,-2.8473954,-2.4779143,-0.69308996,0.5114965,0.24191622,0.92661715
16,48.19577834,bold,-4.932,3.347,9,unlabelled,0.938243449,train,-4.9321275,-3.0049868,-3.9007382,-0.781291,0.28139895,-0.4725331,0.9505582
16,48.19035811,bold,-9.553,7.968,9,unlabelled,0.932755351,train,-9.553349,-5.5423074,-5.905606,0.12079533,-0.225912,-0.8710443,0.8491038
16,48.19712637,bold,-2.877,1.291,9,unlabelled,0.955735803,train,-2.8765354,-2.541951,-2.9110518,-0.9382523,-1.8820101,-0.13198325,0.63114744
16,48.17962691,bold,-3.432,1.847,9,unlabelled,0.974275351,train,-3.4324944,-4.6735234,-5.0536995,1.4519029,2.3901627,-1.1057732,1.1541138
16,48.09402229,bold,-5.475,3.89,9,unlabelled,0.972112715,train,-5.4751935,-5.186782,-5.9203234,0.29542115,1.1638865,0.5934567,0.8562996
17,56.00338299,bold,-2.757,1.172,11,unlabelled,0.993624985,train,-2.7566984,-1.7094903,-3.5672445,-0.48018366,0.4790482,0.4041738,1.3023527
17,55.99542821,faint,-1.263,-0.322,11,unlabelled,0.986021876,train,-1.2631071,-0.97625655,-0.4210577,-0.56775707,1.3172172,0.2023501,1.0091794
17,55.99715775,bold,-2.05,0.465,11,unlabelled,0.980270386,train,-2.0496862,-2.3253372,-0.8582939,-0.41255143,0.52663624,-0.42046925,0.7387457
17,55.97444895,bold,-1.71,0.124,11,unlabelled,0.978701353,train,-1.7095027,-1.8399411,-0.7585794,-0.14674103,-0.39340886,-0.17965105,0.7056931
18,52.78023847,bold,-1.984,0.399,10,unlabelled,0.980832279,train,-1.9844044,-1.5506786,-0.5497207,-0.6435456,-0.14449257,-0.7978546,0.63890153
18,52.75982257,faint,-1.503,-0.082,10,unlabelled,0.986994684,train,-1.5033073,-1.5258929,-0.71054816,-0.7311857,0.5535395,-0.6350988,0.624942
18,52.75628664,faint,-0.69,-0.895,10,unlabelled,0.97176677,train,-0.6902294,-2.2121696,-2.3678455,-0.121133305,0.11015373,-0.42257863,0.68323874
18,52.75950238,bold,-6.394,4.809,10,unlabelled,0.967147589,train,-6.3944855,-4.410801,-3.757042,1.7510681,0.92854404,-0.51089483,0.69892496
19,58.7300045,bold,-14.836,13.251,11,unlabelled,0.844667017,train,-14.835948,-6.806659,-6.147156,4.1726003,5.3261604,-5.216795,0.86391634
19,58.76369465,bold,-5.517,3.932,11,unlabelled,0.848840833,train,-5.5171103,-4.802118,-4.063699,1.4845604,4.0949636,-0.36323908,0.822189
20,50.38702736,bold,-3.842,2.257,10,unlabelled,0.821449399,train,-3.8422418,-1.8427565,-1.2219129,0.25964022,0.5417701,-2.218353,0.45641515
20,50.38470998,bold,-8.494,6.909,10,unlabelled,0.864486217,train,-8.494375,-1.8476877,-1.0590713,1.3063327,0.67587656,-6.024368,0.44981474
21,47.15469636,bold,-7.733,6.148,9,unlabelled,0.846295059,train,-7.7331867,-3.5971458,-2.4200087,1.2294623,1.1484859,-2.3265765,0.5714082
21,47.3434915,bold,-5.998,4.413,9,unlabelled,0.897516012,train,-5.9978004,-0.1036539,-1.6039201,1.7769128,1.7545061,-2.1873589,0.48307252
21,47.34630465,bold,-5.163,3.578,9,unlabelled,0.916515291,train,-5.1634088,-2.6433656,-1.9794111,0.3327224,0.4653021,-0.9166987,0.4938637
21,47.28934557,bold,-6.808,5.223,9,unlabelled,0.903239965,train,-6.8076925,-3.240614,-1.9149464,1.2429475,0.10782408,-3.398484,0.5327259
21,47.37631748,bold,-3.745,2.16,9,unlabelled,0.910669863,train,-3.745286,-1.378963,-2.627955,-0.20989312,-0.34564304,-0.37037462,0.51879025
21,47.32705559,bold,-3.079,1.494,9,unlabelled,0.818163276,train,-3.0787575,-1.601609,-1.9878968,0.013223792,-0.74720234,-1.00725,0.47875345
21,47.36855826,bold,-1.792,0.206,9,unlabelled,0.851826727,train,-1.7915597,-1.4178923,-1.9254767,-0.14939469,-0.70009184,0.5203395,0.5002772
22,52.05775154,bold,-3.082,1.497,10,unlabelled,0.82988888,train,-3.0821455,-1.86602,-1.8407083,0.74736637,0.7592849,-0.58606756,0.5428482
22,52.0603311,bold,-4.776,3.191,10,unlabelled,0.832146168,train,-4.7763095,-2.8777955,-3.496104,-0.30177894,0.064051226,-0.4603445,0.7746746
22,52.14269629,bold,-7.13,5.545,10,unlabelled,0.845254362,train,-7.129829,-3.8312495,-2.3982985,0.28435856,-0.59429336,-2.605,0.7052484
23,63.28864955,bold,-7.969,6.384,12,unlabelled,0.854104161,train,-7.969222,-3.8779278,-3.5078263,1.0184375,2.0372496,-2.795992,1.2054191
24,47.37280783,bold,-2.704,1.118,9,unlabelled,0.797989428,train,-2.70354,-2.3126836,-3.8074787,0.50874627,4.739952,-0.8529771,0.7189839
24,47.80270259,bold,-5.449,3.863,9,unlabelled,0.858263135,train,-5.448509,-1.8085332,-3.0852826,1.7841743,3.6658576,-2.554112,0.7528871
25,53.14824024,bold,-6.188,4.603,10,unlabelled,0.901140392,train,-6.1878943,-3.8232527,-2.8862677,1.9033644,3.2521424,-0.7998846,0.4611991
25,53.14404934,bold,-2.301,0.716,10,unlabelled,0.899583161,train,-2.3009639,-2.5373118,-3.3762083,0.6102233,2.528187,-0.26636955,0.39998415
25,53.15717261,bold,-4.96,3.375,10,unlabelled,0.839870811,train,-4.960208,-3.5629153,-2.8738713,1.8908117,3.158711,-1.4559147,0.46212864
25,53.04406336,bold,-9.964,8.379,10,unlabelled,0.89899826,train,-9.96427,-4.132993,-3.0376387,5.0316005,3.3480728,-4.242625,0.5609169
25,53.06822532,bold,-4.329,2.744,10,unlabelled,0.868862569,train,-4.329259,-2.543206,-3.568018,0.5782254,0.549231,-1.6667821,0.47215605
25,53.16260537,faint,-1.478,-0.107,10,unlabelled,0.80377841,train,-1.4777918,-2.327317,-2.1603775,0.829551,0.21203831,-0.21975487,0.40905923
26,46.49897631,bold,-3.516,1.93,9,unlabelled,0.821618199,train,-3.5155163,-3.3666139,-2.6468987,1.0922613,0.28921387,-0.46349803,0.5010071
27,50.22924611,faint,-1.341,-0.244,10,unlabelled,0.874376297,train,-1.3414667,-1.605607,-1.9777815,-0.4695476,-1.2135124,1.285405,0.40468308
27,50.30092568,bold,-5.651,4.066,10,unlabelled,0.911880791,train,-5.6506667,-0.85281694,-1.126528,3.0628636,0.21301077,-2.5852232,0.45972937
27,50.32178278,bold,-5.881,4.296,10,unlabelled,0.910129786,train,-5.880748,-2.1486073,-1.3109655,1.5212846,2.311998,-0.15671858,0.5081009
27,50.30752442,bold,-3.711,2.125,10,unlabelled,0.765151381,train,-3.7106228,-1.6198735,-2.179388,0.75095403,4.744922,-1.6279078,0.4597485
27,50.02213945,bold,-2.66,1.075,10,unlabelled,0.824040413,train,-2.659947,0.46906972,-0.07775975,1.2608027,3.1679163,-2.9795198,0.28972092
27,50.27909034,bold,-5.045,3.46,10,unlabelled,0.872342706,train,-5.044799,-3.2299893,-5.5858536,0.8180054,5.825011,-1.2925854,0.60502243
27,50.32081467,bold,-8.025,6.44,10,unlabelled,0.934510231,train,-8.025492,-4.9077063,-4.231158,0.78966177,3.643805,-1.2161734,0.57440925
27,50.32080597,bold,-9.659,8.074,10,bold_ex,0.964248419,train,-9.659388,-5.636442,-4.445013,3.6575825,2.702498,-0.7479632,0.74491715
27,50.2484706,bold,-6.365,4.779,10,bold_ex,0.858923435,train,-6.364588,-4.756443,-3.730016,1.303536,0.16562627,0.33397,0.59213567
27,50.14960096,bold,-7.515,5.929,10,bold_ex,0.797720432,train,-7.514607,-2.8480659,-2.5225453,1.9737175,0.8796226,-4.2482586,0.5548374
27,50.31773343,bold,-6.67,5.085,10,bold_ex,0.881036162,train,-6.6700764,-2.5559387,-1.1942875,1.4402025,2.2144954,-3.7469378,0.54000163
27,50.30849558,bold,-6.109,4.524,10,bold_ex,0.847478807,train,-6.10877,-2.7619057,-3.844243,0.3529192,1.0458537,0.74069744,0.5904907
28,49.94093507,bold,-8.045,6.46,9,unlabelled,0.853980303,train,-8.045496,-4.684826,-3.157632,2.9852726,3.9336061,-2.71625,0.73441076
29,57.8896834,faint,-1.145,-0.441,11,unlabelled,0.866452038,train,-1.1445245,-2.7330422,-2.0230174,0.17284623,0.6620854,0.1559659,0.84642106
29,56.7771503,faint,-1.394,-0.191,11,unlabelled,0.842423022,train,-1.393961,-1.0686778,-1.6628728,0.192794,0.6755629,-0.3159819,1.0280763
30,53.18681936,bold,-5.517,3.932,10,unlabelled,0.923616886,val,-5.51745,-3.024631,-3.4508972,2.2172892,4.3426104,-3.274044,0.7434064
30,53.4308099,bold,-5.012,3.427,10,unlabelled,0.961575925,train,-5.0117593,-1.30494,-0.7574756,-0.3077567,-0.070940934,-1.3945167,0.35971737
30,53.41494719,faint,-1.372,-0.213,10,unlabelled,0.933289289,train,-1.3717844,0.15731977,0.6060287,-0.18417509,0.75829005,-0.756885,0.29911953
30,53.41260843,bold,-4.465,2.88,10,unlabelled,0.930303931,train,-4.465042,-1.9066489,-0.854377,0.48681623,2.198718,-2.1521518,0.5897775
31,51.75066689,faint,-0.327,-1.258,10,unlabelled,0.930111706,val,-0.3273012,-0.24186674,-0.58582467,-0.042200536,0.6646715,-0.031963147,0.61808777
31,52.38676517,bold,-2.178,0.593,10,unlabelled,0.935482204,val,-2.1777258,-1.5586506,-0.98621345,-1.5021603,2.0313292,-2.0740201,0.8140501
31,52.37831752,bold,-3.916,2.331,10,unlabelled,0.981081486,val,-3.9159808,-0.4414426,-0.1928158,-1.6450454,2.1921284,-3.2098386,0.6006857
31,52.3806862,bold,-4.808,3.223,10,unlabelled,0.98715353,val,-4.8081646,-2.339447,-1.7420473,-0.7139991,0.29486853,-3.0161262,0.6519623
31,52.38099328,faint,-0.982,-0.603,10,unlabelled,0.975150824,val,-0.9821716,0.058514256,0.103273205,-0.7987497,0.09640639,-0.7992747,0.36335516
31,52.39907281,faint,-0.348,-1.237,10,unlabelled,0.988996625,train,-0.3483807,-1.2190242,-0.7585945,-1.2271365,0.8387194,0.18358308,0.79111123
31,52.40669588,bold,-3.136,1.551,10,unlabelled,0.961941779,train,-3.135895,0.03621783,-0.1628619,-0.85830915,-0.86268663,-0.5161568,0.5931586
31,52.4033332,faint,-1.371,-0.214,10,unlabelled,0.993309379,train,-1.3708979,-0.47742003,-0.7402737,-1.4030106,-0.9429401,-0.388923,0.5840347
32,45.88209578,faint,-1.117,-0.468,9,unlabelled,0.911248207,val,-1.1173335,-2.3115945,-1.4165794,-1.3617673,-0.3905819,-1.3341746,1.0735999
32,45.62226298,bold,-3.116,1.531,9,unlabelled,0.888476491,val,-3.116494,-3.0058646,-2.5237105,-1.5199485,0.0585167,-0.9877552,0.96038586
