OBJECTID,Well_ident,State,County,Well_name,Well_numbe,Type,Status,Latitude,Longitude,Prime_meri,Township,T_dir,Range,R_dir,Section,Qtr,Qtr_qtr,Qtr_qtr_qt,Source,Data file date,Well_info,Location_n,Other_note,x,y
99751,API:37121223390000,Pennsylvania,Venango,WOIDECK 85Q, , ,Orphan,41.514558,-79.516018, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5160179996309,41.5145580003515
99752,API:37121223400000,Pennsylvania,Venango,WOIDECK 86Q, , ,Orphan,41.510714,-79.523867, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.523867000062,41.510714000251
99753,API:37121223420000,Pennsylvania,Venango,WOIDECK 88Q, , ,Orphan,41.513459,-79.520216, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5202159998685,41.5134590000329
99754,API:37121223430000,Pennsylvania,Venango,WOIDECK 89Q, , ,Orphan,41.514557,-79.519395, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5193949997794,41.5145570003054
99755,API:37121223440000,Pennsylvania,Venango,WOIDECK 90Q, , ,Orphan,41.515381,-79.517296, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5172960001103,41.5153809996335
99756,API:37121223450000,Pennsylvania,Venango,WOIDECK 91Q, , ,Orphan,41.517165,-79.515836, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5158360002312,41.5171650000648
99757,API:37121223460000,Pennsylvania,Venango,WOIDECK 92Q, , ,Orphan,41.513184,-79.52332, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.523320000018,41.5131839999417
99758,API:37121223470000,Pennsylvania,Venango,WOIDECK 93Q, , ,Orphan,41.515655,-79.520582, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5205819996595,41.5156549996785
99759,API:37121223480000,Pennsylvania,Venango,WOIDECK 94Q, , ,Orphan,41.517027,-79.519487, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5194870004247,41.5170269999961
99760,API:37121223490000,Pennsylvania,Venango,WOIDECK 95Q, , ,Orphan,41.518124,-79.524235, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5242349999452,41.5181240002225
99761,API:37121223510000,Pennsylvania,Venango,WOIDECK 97Q, , ,Orphan,41.517849,-79.526608, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5266079996594,41.5178490001313
99762,API:37121223530000,Pennsylvania,Venango,WOIDECK 99Q, , ,Orphan,41.521005,-79.524053, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5240529996462,41.5210049999808
99763,API:37121223550000,Pennsylvania,Venango,WOIDECK 101Q, , ,Orphan,41.518671,-79.530625, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.530624999644,41.5186710002665
99764,API:37121223560000,Pennsylvania,Venango,WOIDECK 102Q, , ,Orphan,41.518946,-79.528252, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5282519999298,41.5189460003577
99765,API:37121223580000,Pennsylvania,Venango,WOIDECK 104Q, , ,Orphan,41.521966,-79.525697, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5256969999166,41.5219660002308
99766,API:37121223590000,Pennsylvania,Venango,WOIDECK 105Q, , ,Orphan,41.523338,-79.523689, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5236889999474,41.523337999649
99767,API:37121223610000,Pennsylvania,Venango,WOIDECK 107Q, , ,Orphan,41.520318,-79.529895, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5298950001541,41.5203179997759
99768,API:37121223620000,Pennsylvania,Venango,WOIDECK 108Q, , ,Orphan,41.521965,-79.528618, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5286179997209,41.5219650001847
99769,API:37121223630000,Pennsylvania,Venango,WOIDECK 109Q, , ,Orphan,41.5232,-79.526975, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5269750003959,41.5231999995804
99770,API:37121223640000,Pennsylvania,Venango,WOIDECK 110Q, , ,Orphan,41.524436,-79.525698, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5256979999627,41.5244359999215
99771,API:37121223650000,Pennsylvania,Venango,WOIDECK 111Q, , ,Orphan,41.523199,-79.530445, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5304450003364,41.5231990004336
99772,API:37121223660000,Pennsylvania,Venango,WOIDECK 112Q, , ,Orphan,41.524298,-79.528802, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5288020001122,41.5242979998529
99773,API:37121224310000,Pennsylvania,Venango,HAMMERMILL 4, , ,Orphan,41.483268,-79.617031, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Cornplanter Twp, ,-79.6170310002804,41.4832679999183
99774,API:37121224380000,Pennsylvania,Venango,HAMMERMILL 11, , ,Orphan,41.48464,-79.60827, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Cornplanter Twp, ,-79.6082700000604,41.4846400002359
99775,API:37121224400000,Pennsylvania,Venango,SMITH S#4, , ,Orphan,41.566601,-79.517655, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5176549995786,41.5666010000362
99776,API:37121224900000,Pennsylvania,Venango,WOIDECK 113Q, , ,Orphan,41.490998,-79.538459, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: President Twp, ,-79.5384590002826,41.4909980002575
99777,API:37121224910000,Pennsylvania,Venango,WOIDECK 114Q, , ,Orphan,41.491137,-79.535904, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: President Twp, ,-79.5359040002693,41.4911370003723
99778,API:37121225000000,Pennsylvania,Venango,BOB BAKER 5, , ,Orphan,41.56715,-79.528621, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5286209998592,41.5671500001724
99779,API:37121225040000,Pennsylvania,Venango,BOB BAKER 9, , ,Orphan,41.565915,-79.528255, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5282550000682,41.5659149998774
