model,tau,rank,score,recall,precision,fp_per_km2
pit,0.3,172,0.6173374730348588,0.3061630218687873,0.8953488372093024,1.1130434782608696
pit,0.3,173,0.6172221212125406,0.3081510934393638,0.8959537572254336,1.1130434782608696
pit,0.3,174,0.6172158139593461,0.3101391650099404,0.896551724137931,1.1130434782608696
pit,0.3,175,0.6169841979825219,0.3101391650099404,0.8914285714285715,1.17487922705314
pit,0.3,176,0.6162127672749407,0.3121272365805169,0.8920454545454546,1.17487922705314
pit,0.3,177,0.6158717700786758,0.31411530815109345,0.8926553672316384,1.17487922705314
pit,0.3,178,0.6158122361838063,0.31610337972166996,0.8932584269662921,1.17487922705314
pit,0.3,179,0.6157027713143,0.31809145129224653,0.8938547486033519,1.17487922705314
pit,0.3,180,0.6154752722492924,0.32007952286282304,0.8944444444444445,1.17487922705314
pit,0.3,181,0.6146473918642317,0.3220675944333996,0.8950276243093923,1.17487922705314
pit,0.3,182,0.6145907212048769,0.3220675944333996,0.8901098901098901,1.2367149758454106
pit,0.3,183,0.6143615802234792,0.3220675944333996,0.8852459016393442,1.298550724637681
pit,0.3,184,0.6143599928928023,0.3240556660039761,0.8858695652173914,1.298550724637681
pit,0.3,185,0.6139805298752901,0.3240556660039761,0.8810810810810811,1.3603864734299518
pit,0.3,186,0.6138992970999406,0.3260437375745527,0.8817204301075269,1.3603864734299518
pit,0.3,187,0.6138281769131961,0.32803180914512925,0.8823529411764706,1.3603864734299518
pit,0.3,188,0.6137471130048787,0.33001988071570576,0.8829787234042553,1.3603864734299518
pit,0.3,189,0.6132457550419005,0.3320079522862823,0.8835978835978836,1.3603864734299518
pit,0.3,190,0.6131324533621471,0.33399602385685884,0.8842105263157894,1.3603864734299518
pit,0.3,191,0.6130114864118351,0.3359840954274354,0.8848167539267016,1.3603864734299518
pit,0.3,192,0.6127882428525939,0.3379721669980119,0.8854166666666666,1.3603864734299518
pit,0.3,193,0.612662470087092,0.3399602385685885,0.8860103626943006,1.3603864734299518
pit,0.3,194,0.6121559295317401,0.3399602385685885,0.8814432989690721,1.4222222222222223
pit,0.3,195,0.6121383943919385,0.3399602385685885,0.8769230769230769,1.4840579710144928
pit,0.3,196,0.6120292883624071,0.3399602385685885,0.8724489795918368,1.5458937198067633
pit,0.3,197,0.6120094534733312,0.341948310139165,0.8730964467005076,1.5458937198067633
pit,0.3,198,0.6104292265165632,0.341948310139165,0.8686868686868687,1.6077294685990338
pit,0.3,199,0.6101193736581242,0.34393638170974156,0.8693467336683417,1.6077294685990338
pit,0.3,200,0.6098842776896104,0.34592445328031807,0.87,1.6077294685990338
pit,0.3,201,0.6097547173863505,0.34791252485089463,0.8706467661691543,1.6077294685990338
pit,0.3,202,0.6095431603544907,0.3499005964214712,0.8712871287128713,1.6077294685990338
pit,0.3,203,0.6095032278372317,0.3518886679920477,0.8719211822660099,1.6077294685990338
pit,0.3,204,0.608727548482283,0.3518886679920477,0.8676470588235294,1.6695652173913043
pit,0.3,205,0.6086464987438955,0.3538767395626243,0.8682926829268293,1.6695652173913043
pit,0.3,206,0.6085586594634278,0.3558648111332008,0.8689320388349514,1.6695652173913043
pit,0.3,207,0.6072247602873379,0.35785288270377735,0.8695652173913043,1.6695652173913043
pit,0.3,208,0.6070095414207095,0.35984095427435386,0.8701923076923077,1.6695652173913043
pit,0.3,209,0.6063208916577799,0.36182902584493043,0.8708133971291866,1.6695652173913043
pit,0.3,210,0.6062527810399597,0.36182902584493043,0.8666666666666667,1.731400966183575
pit,0.3,211,0.6061384746006557,0.36381709741550694,0.8672985781990521,1.731400966183575
pit,0.3,212,0.605531863161542,0.36381709741550694,0.8632075471698113,1.7932367149758455
pit,0.3,213,0.6054292096281951,0.3658051689860835,0.863849765258216,1.7932367149758455
pit,0.3,214,0.6052368125494789,0.3658051689860835,0.8598130841121495,1.855072463768116
