model,tau,thr,recall,precision,fp_per_km2,n_pred,tp,n_gt
pit_smrf,0.5,0.45,0.8151093439363817,0.6156156156156156,15.829951690821256,666,410,503
pit_smrf,0.5,0.475,0.7952286282306164,0.6182380216383307,15.27342995169082,647,400,503
pit_smrf,0.5,0.5,0.7514910536779325,0.6048,15.27342995169082,625,378,503
pit_smrf,0.5,0.525,0.7037773359840954,0.5822368421052632,15.706280193236715,608,354,503
pit_smrf,0.5,0.55,0.6660039761431411,0.576592082616179,15.211594202898551,581,335,503
pit_smrf,0.5,0.575,0.6222664015904572,0.563963963963964,14.964251207729468,555,313,503
pit_smrf,0.5,0.6,0.5685884691848907,0.5355805243445693,15.335265700483092,534,286,503
pit_smrf,0.5,0.625,0.5188866799204771,0.5058139534883721,15.768115942028986,516,261,503
pit_smrf,0.5,0.65,0.45129224652087474,0.47291666666666665,15.644444444444444,480,227,503
pit_smrf,0.5,0.675,0.40755467196819084,0.45964125560538116,14.902415458937199,446,205,503
pit_smrf,0.5,0.7,0.341948310139165,0.4095238095238095,15.335265700483092,420,172,503
pit_smrf,0.5,0.725,0.268389662027833,0.35340314136125656,15.27342995169082,382,135,503
pit_smrf,0.5,0.75,0.19284294234592445,0.2878338278931751,14.840579710144928,337,97,503
pit_smrf,0.5,0.775,0.1272365805168986,0.22377622377622378,13.727536231884057,286,64,503
pit_smrf,0.5,0.8,0.08349900596421471,0.18502202643171806,11.439613526570048,227,42,503
pit_smrf,0.5,0.825,0.04771371769383698,0.12435233160621761,10.45024154589372,193,24,503
pit_smrf,0.5,0.85,0.019880715705765408,0.06666666666666667,8.657004830917874,150,10,503
pit_smrf,0.5,0.875,0.005964214711729622,0.02830188679245283,6.369082125603865,106,3,503
pit_smrf,0.5,0.9,0.0019880715705765406,0.018518518518518517,3.2772946859903382,54,1,503
pit_smrf,0.5,0.925,0.0,0.0,1.17487922705314,19,0,503
pit_smrf,0.5,0.95,0.0,0.0,0.1855072463768116,3,0,503
pad,0.3,0.05,0.0,0.0,9.757105943152455,177,0,650
pad,0.3,0.075,0.003076923076923077,0.010582010582010581,10.308354866494401,189,2,650
pad,0.3,0.1,0.03230769230769231,0.03825136612021858,29.10594315245478,549,21,650
pad,0.3,0.125,0.07846153846153846,0.06311881188118812,41.72954349698536,808,51,650
pad,0.3,0.15,0.13230769230769232,0.09317443120260022,46.13953488372093,923,86,650
pad,0.3,0.175,0.20153846153846153,0.13818565400843882,45.03703703703704,948,131,650
pad,0.3,0.2,0.25076923076923074,0.1696149843912591,43.98966408268734,961,163,650
pad,0.3,0.225,0.3,0.20041109969167523,42.887166236003445,973,195,650
pad,0.3,0.25,0.3953846153846154,0.2559760956175299,41.17829457364341,1004,257,650
pad,0.3,0.275,0.47846153846153844,0.30490196078431375,39.08354866494401,1020,311,650
pad,0.3,0.3,0.5523076923076923,0.3435406698564593,37.81567614125753,1045,359,650
pad,0.3,0.325,0.6384615384615384,0.3856877323420074,36.43755383290267,1076,415,650
pad,0.3,0.35,0.6923076923076923,0.41589648798521256,34.838931955211024,1082,450,650
pad,0.3,0.375,0.7661538461538462,0.45604395604395603,32.74418604651163,1092,498,650
pad,0.3,0.4,0.8107692307692308,0.4857142857142857,30.75968992248062,1085,527,650
pad,0.3,0.425,0.8461538461538461,0.5102040816326531,29.10594315245478,1078,550,650
pad,0.3,0.45,0.8707692307692307,0.5319548872180451,27.45219638242894,1064,566,650
pad,0.3,0.475,0.8984615384615384,0.5488721804511278,26.459948320413435,1064,584,650
pad,0.3,0.5,0.9123076923076923,0.5663801337153773,25.026701119724375,1047,593,650
pad,0.3,0.525,0.9123076923076923,0.5813725490196079,23.53832902670112,1020,593,650
pad,0.3,0.55,0.9107692307692308,0.590818363273453,22.60120585701981,1002,592,650
pad,0.3,0.575,0.9015384615384615,0.5991820040899796,21.608957795004308,978,586,650
pad,0.3,0.6,0.8769230769230769,0.6012658227848101,20.837209302325583,948,570,650
pad,0.3,0.625,0.8630769230769231,0.6124454148471615,19.569336778639105,916,561,650
pad,0.3,0.65,0.8138461538461539,0.5977401129943503,19.6244616709733,885,529,650
pad,0.3,0.675,0.7307692307692307,0.5668257756563246,20.010335917312663,838,475,650
pad,0.3,0.7,0.64,0.5561497326203209,18.301464254952627,748,416,650
pad,0.3,0.725,0.5323076923076923,0.5080763582966226,18.466838931955213,681,346,650
pad,0.3,0.75,0.4123076923076923,0.44224422442244227,18.632213608957795,606,268,650
pad,0.3,0.775,0.27692307692307694,0.37735849056603776,16.372093023255815,477,180,650
pad,0.3,0.8,0.16,0.2988505747126437,13.450473729543496,348,104,650
pad,0.3,0.825,0.08,0.23008849557522124,9.591731266149871,226,52,650
pad,0.3,0.85,0.02923076923076923,0.17272727272727273,5.0163652024117145,110,19,650
pad,0.3,0.875,0.006153846153846154,0.08,2.5357450473729544,50,4,650
pad,0.3,0.9,0.0,0.0,0.8819982773471146,16,0,650
pad,0.3,0.925,0.0,0.0,0.05512489233419466,1,0,650
pad,0.3,0.95,0.0,,0.0,0,0,650
pad,0.5,0.05,0.0,0.0,9.757105943152455,177,0,650
