model,fold,block_id,thr,tau,n_gt,tp_gt,n_pred,tp_pred,split
pad,0,138,0.175,0.5,8,0,7,0,heldout
pad,0,-1,0.2,0.3,96,31,206,31,val
pad,0,-1,0.2,0.5,96,9,206,9,val
pad,0,6,0.2,0.3,1,0,14,0,heldout
pad,0,12,0.2,0.3,6,1,8,1,heldout
pad,0,22,0.2,0.3,2,0,8,0,heldout
pad,0,24,0.2,0.3,5,1,6,1,heldout
pad,0,48,0.2,0.3,9,3,11,3,heldout
pad,0,73,0.2,0.3,10,1,4,1,heldout
pad,0,83,0.2,0.3,6,2,9,2,heldout
pad,0,84,0.2,0.3,7,2,9,2,heldout
pad,0,87,0.2,0.3,5,1,7,1,heldout
pad,0,89,0.2,0.3,5,3,12,3,heldout
pad,0,90,0.2,0.3,6,1,5,1,heldout
pad,0,94,0.2,0.3,3,0,11,0,heldout
pad,0,95,0.2,0.3,9,2,11,2,heldout
pad,0,105,0.2,0.3,8,3,11,3,heldout
pad,0,115,0.2,0.3,3,1,13,1,heldout
pad,0,118,0.2,0.3,6,2,6,2,heldout
pad,0,126,0.2,0.3,2,1,8,1,heldout
pad,0,127,0.2,0.3,3,0,5,0,heldout
pad,0,130,0.2,0.3,4,1,8,1,heldout
pad,0,131,0.2,0.3,4,0,7,0,heldout
pad,0,132,0.2,0.3,6,3,10,3,heldout
pad,0,135,0.2,0.3,6,2,14,2,heldout
pad,0,136,0.2,0.3,6,0,7,0,heldout
pad,0,138,0.2,0.3,8,4,8,4,heldout
pad,0,6,0.2,0.5,1,0,14,0,heldout
pad,0,12,0.2,0.5,6,0,8,0,heldout
pad,0,22,0.2,0.5,2,0,8,0,heldout
pad,0,24,0.2,0.5,5,0,6,0,heldout
pad,0,48,0.2,0.5,9,2,11,2,heldout
pad,0,73,0.2,0.5,10,0,4,0,heldout
pad,0,83,0.2,0.5,6,0,9,0,heldout
pad,0,84,0.2,0.5,7,2,9,2,heldout
pad,0,87,0.2,0.5,5,0,7,0,heldout
pad,0,89,0.2,0.5,5,0,12,0,heldout
pad,0,90,0.2,0.5,6,0,5,0,heldout
pad,0,94,0.2,0.5,3,0,11,0,heldout
pad,0,95,0.2,0.5,9,0,11,0,heldout
pad,0,105,0.2,0.5,8,2,11,2,heldout
pad,0,115,0.2,0.5,3,0,13,0,heldout
pad,0,118,0.2,0.5,6,1,6,1,heldout
pad,0,126,0.2,0.5,2,0,8,0,heldout
pad,0,127,0.2,0.5,3,0,5,0,heldout
pad,0,130,0.2,0.5,4,0,8,0,heldout
pad,0,131,0.2,0.5,4,0,7,0,heldout
pad,0,132,0.2,0.5,6,1,10,1,heldout
pad,0,135,0.2,0.5,6,1,14,1,heldout
pad,0,136,0.2,0.5,6,0,7,0,heldout
pad,0,138,0.2,0.5,8,0,8,0,heldout
pad,0,-1,0.225,0.3,96,44,210,44,val
pad,0,-1,0.225,0.5,96,16,210,16,val
pad,0,6,0.225,0.3,1,0,16,0,heldout
pad,0,12,0.225,0.3,6,1,12,1,heldout
pad,0,22,0.225,0.3,2,0,6,0,heldout
pad,0,24,0.225,0.3,5,1,5,1,heldout
pad,0,48,0.225,0.3,9,4,11,4,heldout
pad,0,73,0.225,0.3,10,1,2,1,heldout
pad,0,83,0.225,0.3,6,2,10,2,heldout
pad,0,84,0.225,0.3,7,4,16,4,heldout
pad,0,87,0.225,0.3,5,1,6,1,heldout
pad,0,89,0.225,0.3,5,3,13,3,heldout
pad,0,90,0.225,0.3,6,1,5,1,heldout
pad,0,94,0.225,0.3,3,0,15,0,heldout
pad,0,95,0.225,0.3,9,2,11,2,heldout
pad,0,105,0.225,0.3,8,4,10,4,heldout
pad,0,115,0.225,0.3,3,1,12,1,heldout
pad,0,118,0.225,0.3,6,2,6,2,heldout
pad,0,126,0.225,0.3,2,1,10,1,heldout
pad,0,127,0.225,0.3,3,0,5,0,heldout
pad,0,130,0.225,0.3,4,1,8,1,heldout
pad,0,131,0.225,0.3,4,1,8,1,heldout
pad,0,132,0.225,0.3,6,3,12,3,heldout
pad,0,135,0.225,0.3,6,2,12,2,heldout
pad,0,136,0.225,0.3,6,1,7,1,heldout
pad,0,138,0.225,0.3,8,4,10,4,heldout
pad,0,6,0.225,0.5,1,0,16,0,heldout
pad,0,12,0.225,0.5,6,1,12,1,heldout
pad,0,22,0.225,0.5,2,0,6,0,heldout
pad,0,24,0.225,0.5,5,1,5,1,heldout
pad,0,48,0.225,0.5,9,3,11,3,heldout
pad,0,73,0.225,0.5,10,0,2,0,heldout
pad,0,83,0.225,0.5,6,0,10,0,heldout
pad,0,84,0.225,0.5,7,2,16,2,heldout
pad,0,87,0.225,0.5,5,0,6,0,heldout
pad,0,89,0.225,0.5,5,0,13,0,heldout
pad,0,90,0.225,0.5,6,0,5,0,heldout
pad,0,94,0.225,0.5,3,0,15,0,heldout
pad,0,95,0.225,0.5,9,0,11,0,heldout
pad,0,105,0.225,0.5,8,3,10,3,heldout
pad,0,115,0.225,0.5,3,1,12,1,heldout
pad,0,118,0.225,0.5,6,1,6,1,heldout
pad,0,126,0.225,0.5,2,1,10,1,heldout
pad,0,127,0.225,0.5,3,0,5,0,heldout
pad,0,130,0.225,0.5,4,0,8,0,heldout
pad,0,131,0.225,0.5,4,1,8,1,heldout
pad,0,132,0.225,0.5,6,1,12,1,heldout
pad,0,135,0.225,0.5,6,2,12,2,heldout
pad,0,136,0.225,0.5,6,0,7,0,heldout
pad,0,138,0.225,0.5,8,1,10,1,heldout
pad,0,-1,0.25,0.3,96,53,214,53,val
pad,0,-1,0.25,0.5,96,24,214,24,val
pad,0,6,0.25,0.3,1,0,12,0,heldout
