model,fold,block_id,thr,tau,n_gt,tp_gt,n_pred,tp_pred,split
pit,0,14,0.25,0.3,3,3,14,3,heldout
pit,0,18,0.25,0.3,2,1,2,1,heldout
pit,0,27,0.25,0.3,6,5,9,5,heldout
pit,0,36,0.25,0.3,3,3,9,3,heldout
pit,0,37,0.25,0.3,2,2,6,2,heldout
pit,0,41,0.25,0.3,5,3,12,3,heldout
pit,0,44,0.25,0.3,1,1,9,1,heldout
pit,0,60,0.25,0.3,5,3,13,3,heldout
pit,0,61,0.25,0.3,8,6,9,6,heldout
pit,0,71,0.25,0.3,6,6,6,6,heldout
pit,0,72,0.25,0.3,6,5,14,5,heldout
pit,0,82,0.25,0.3,2,1,13,1,heldout
pit,0,86,0.25,0.3,1,1,2,1,heldout
pit,0,88,0.25,0.3,4,4,9,4,heldout
pit,0,94,0.25,0.3,2,1,11,1,heldout
pit,0,95,0.25,0.3,8,6,10,6,heldout
pit,0,107,0.25,0.3,6,5,10,5,heldout
pit,0,108,0.25,0.3,7,3,11,3,heldout
pit,0,111,0.25,0.3,3,3,8,3,heldout
pit,0,114,0.25,0.3,2,2,4,2,heldout
pit,0,125,0.25,0.3,1,1,3,1,heldout
pit,0,126,0.25,0.3,2,2,3,2,heldout
pit,0,133,0.25,0.3,8,7,14,7,heldout
pit,0,134,0.25,0.3,5,5,6,5,heldout
pit,0,2,0.25,0.5,5,3,8,3,heldout
pit,0,14,0.25,0.5,3,2,14,2,heldout
pit,0,18,0.25,0.5,2,1,2,1,heldout
pit,0,27,0.25,0.5,6,4,9,4,heldout
pit,0,36,0.25,0.5,3,1,9,1,heldout
pit,0,37,0.25,0.5,2,1,6,1,heldout
pit,0,41,0.25,0.5,5,0,12,0,heldout
pit,0,44,0.25,0.5,1,0,9,0,heldout
pit,0,60,0.25,0.5,5,1,13,1,heldout
pit,0,61,0.25,0.5,8,0,9,0,heldout
pit,0,71,0.25,0.5,6,4,6,4,heldout
pit,0,72,0.25,0.5,6,2,14,2,heldout
pit,0,82,0.25,0.5,2,1,13,1,heldout
pit,0,86,0.25,0.5,1,1,2,1,heldout
pit,0,88,0.25,0.5,4,3,9,3,heldout
pit,0,94,0.25,0.5,2,1,11,1,heldout
pit,0,95,0.25,0.5,8,2,10,2,heldout
pit,0,107,0.25,0.5,6,1,10,1,heldout
pit,0,108,0.25,0.5,7,1,11,1,heldout
pit,0,111,0.25,0.5,3,3,8,3,heldout
pit,0,114,0.25,0.5,2,1,4,1,heldout
pit,0,125,0.25,0.5,1,0,3,0,heldout
pit,0,126,0.25,0.5,2,1,3,1,heldout
pit,0,133,0.25,0.5,8,2,14,2,heldout
pit,0,134,0.25,0.5,5,4,6,4,heldout
pit,0,-1,0.275,0.3,85,77,143,77,val
pit,0,-1,0.275,0.5,85,41,143,41,val
pit,0,2,0.275,0.3,5,4,6,4,heldout
pit,0,14,0.275,0.3,3,3,12,3,heldout
pit,0,18,0.275,0.3,2,1,2,1,heldout
pit,0,27,0.275,0.3,6,4,8,4,heldout
pit,0,36,0.275,0.3,3,3,8,3,heldout
pit,0,37,0.275,0.3,2,2,6,2,heldout
pit,0,41,0.275,0.3,5,3,12,3,heldout
pit,0,44,0.275,0.3,1,1,8,1,heldout
pit,0,60,0.275,0.3,5,4,12,4,heldout
pit,0,61,0.275,0.3,8,7,9,7,heldout
pit,0,71,0.275,0.3,6,6,6,6,heldout
pit,0,72,0.275,0.3,6,5,13,5,heldout
pit,0,82,0.275,0.3,2,1,12,1,heldout
pit,0,86,0.275,0.3,1,1,1,1,heldout
pit,0,88,0.275,0.3,4,4,8,4,heldout
pit,0,94,0.275,0.3,2,2,11,2,heldout
pit,0,95,0.275,0.3,8,7,10,7,heldout
pit,0,107,0.275,0.3,6,5,9,5,heldout
pit,0,108,0.275,0.3,7,5,12,5,heldout
pit,0,111,0.275,0.3,3,3,6,3,heldout
pit,0,114,0.275,0.3,2,2,4,2,heldout
pit,0,125,0.275,0.3,1,1,3,1,heldout
pit,0,126,0.275,0.3,2,2,2,2,heldout
pit,0,133,0.275,0.3,8,7,14,7,heldout
pit,0,134,0.275,0.3,5,5,6,5,heldout
pit,0,2,0.275,0.5,5,3,6,3,heldout
pit,0,14,0.275,0.5,3,2,12,2,heldout
pit,0,18,0.275,0.5,2,1,2,1,heldout
pit,0,27,0.275,0.5,6,4,8,4,heldout
pit,0,36,0.275,0.5,3,1,8,1,heldout
pit,0,37,0.275,0.5,2,1,6,1,heldout
pit,0,41,0.275,0.5,5,0,12,0,heldout
pit,0,44,0.275,0.5,1,0,8,0,heldout
pit,0,60,0.275,0.5,5,1,12,1,heldout
pit,0,61,0.275,0.5,8,0,9,0,heldout
pit,0,71,0.275,0.5,6,4,6,4,heldout
pit,0,72,0.275,0.5,6,2,13,2,heldout
pit,0,82,0.275,0.5,2,1,12,1,heldout
pit,0,86,0.275,0.5,1,1,1,1,heldout
pit,0,88,0.275,0.5,4,4,8,4,heldout
pit,0,94,0.275,0.5,2,1,11,1,heldout
pit,0,95,0.275,0.5,8,2,10,2,heldout
pit,0,107,0.275,0.5,6,1,9,1,heldout
