task,family,setting,recall,recall_lo,recall_hi,precision,precision_lo,precision_hi,candidates,tp,fp,n_gt,candidates_per_km2,fp_per_km2,recall_fold_min,recall_fold_max,recall_per_fold,block_mean_recall,rule_per_fold,infeasible_folds,regret_per_feature,regret_relative,target_met_pooled,target_met_block_mean,folds_meeting_target
pad,recall,0.8,0.7984615384615384,0.75999852724595,0.8338658146964856,0.7238493723849372,0.6822423094738562,0.7625935932476726,717,519.0,198.0,650.0,39.52454780361757,10.914728682170542,0.7364341085271318,0.8692307692307693,"[0.8385, 0.7364, 0.7752, 0.7727, 0.8692]",0.7976251999507813,"[0.4014, 0.4182, 0.4458, 0.4173, 0.4177]",0.0,,,False,False,2.0
pad,recall,0.85,0.8446153846153847,0.8101458425405644,0.8767387761665443,0.7047496790757382,0.662826867816092,0.7462907599249113,779,549.0,230.0,650.0,42.94229112833764,12.678725236864771,0.813953488372093,0.9,"[0.9, 0.814, 0.814, 0.8182, 0.8769]",0.8437430786267995,"[0.305, 0.3327, 0.3785, 0.3487, 0.3111]",0.0,,,False,False,2.0
pad,recall,0.9,0.8969230769230769,0.8692839459478046,0.9222620051523464,0.5859296482412061,0.5447309973662648,0.6262834010250269,995,583.0,412.0,650.0,54.84926787252369,22.7114556416882,0.875968992248062,0.9307692307692308,"[0.9308, 0.907, 0.876, 0.8788, 0.8923]",0.8886735572782084,"[0.0, 0.0, 0.2036, 0.0, 0.0]",4.0,,,False,False,2.0
pad,recall,0.95,0.9,0.8726170904594814,0.9253127519653295,0.574656188605108,0.532803180914513,0.6145212926941532,1018,585.0,433.0,650.0,56.11714039621016,23.869078380706288,0.8787878787878788,0.9307692307692308,"[0.9308, 0.907, 0.8915, 0.8788, 0.8923]",0.8910729666543621,"[0.0, 0.0, 0.0, 0.0, 0.0]",5.0,,,False,False,0.0
pad,fbeta,0.5,0.7,0.6545145805163398,0.7413036595817815,0.7583333333333333,0.7142857142857143,0.8016153156878963,600,455.0,145.0,650.0,33.07493540051679,7.993109388458226,0.5658914728682171,0.7923076923076923,"[0.7692, 0.5659, 0.6822, 0.6894, 0.7923]",0.6973637258520979,"[0.5216, 0.5541, 0.5267, 0.5833, 0.5488]",0.0,,,,,
pad,fbeta,1,0.8430769230769231,0.808256349377653,0.875004815100154,0.7089262613195343,0.6662416164002193,0.7496689177987766,773,548.0,225.0,650.0,42.61154177433247,12.4031007751938,0.813953488372093,0.8692307692307693,"[0.8538, 0.8527, 0.814, 0.8258, 0.8692]",0.843798449612403,"[0.3662, 0.3096, 0.358, 0.3307, 0.381]",0.0,,,,,
pad,fbeta,2,0.8861538461538462,0.8558399716676955,0.9135061774847946,0.6515837104072398,0.6071408861557868,0.6944159823175036,884,576.0,308.0,650.0,48.73040482342808,16.978466838931954,0.8409090909090909,0.9307692307692308,"[0.9308, 0.8915, 0.876, 0.8409, 0.8923]",0.8806416881998276,"[0.1388, 0.2043, 0.2343, 0.2522, 0.1532]",0.0,,,,,
pad,fbeta,3,0.8953846153846153,0.8663639831850508,0.9222575463616206,0.631236442516269,0.5877371348931697,0.6742083888571611,922,582.0,340.0,650.0,50.825150732127476,18.742463393626185,0.8636363636363636,0.9307692307692308,"[0.9308, 0.8992, 0.8915, 0.8636, 0.8923]",0.8880367909437676,"[0.1326, 0.1865, 0.1309, 0.1993, 0.1467]",0.0,,,,,
pad,fbeta,4,0.8953846153846153,0.8663639831850508,0.9222575463616206,0.6251342642320086,0.5820381945920144,0.6677002708978328,931,582.0,349.0,650.0,51.32127476313523,19.238587424633938,0.8636363636363636,0.9307692307692308,"[0.9308, 0.8992, 0.8915, 0.8636, 0.8923]",0.8880367909437676,"[0.1326, 0.1588, 0.1309, 0.1993, 0.1467]",0.0,,,,,
pad,reference,F1 pixel cutoff,0.8876923076923077,,,0.5966907962771458,,,967,,,,53.30577088716623,21.498708010335918,0.803030303030303,0.9384615384615383,,,"[0.6, 0.55, 0.55, 0.65, 0.55]",,,,,,
pad,reference,F2 pixel cutoff,0.9123076923076923,,,0.5871287128712871,,,1010,,,,55.67614125753661,22.987080103359173,0.8863636363636364,0.9384615384615383,,,"[0.55, 0.55, 0.55, 0.5, 0.55]",,,,,,
pad,reference,deployed pixel cutoff 0.70 (no area floor),0.64,,,0.5561497326203209,,,748,,,,41.233419465977605,18.301464254952627,0.5348837209302325,0.7461538461538462,,,"[0.7, 0.7, 0.7, 0.7, 0.7]",,,,,,
