pad_i,area_m2,perim_m,compactness,elongation,solidity,rectangularity,n_pits,d_road_m,n_wells_50m,slope_mean,slope_std,slope_flatfrac,slope_annulus,edge_slope,slope_ratio,lrm11_relief,tpi15_mean,chm_in,chm_annulus,chm_deficit
220,876.1174596322661,131.91543745445102,0.6326754100722785,0.43153369859090884,0.9325628270046303,0.721676000947023,1,1.2067259198996878,1,5.428917544236611,3.914004009470454,0.32054951345163135,2.782851219177246,3.7039060592651367,1.9508472126805536,0.24624176025390615,-0.038540871264802164,0.0416717529296875,0.029571533203125,-0.0121002197265625
221,571.0345618608413,97.5302330544321,0.7543861991431962,0.6321369911145279,0.9456465960674134,0.7608354004585165,1,4.137510855847694,0,8.025574808173895,5.05171734546942,0.1429820725841714,4.974937438964844,6.087523937225342,1.6132011521020875,0.33983459472656236,-0.012696073104264594,0.1076202392578125,0.080718994140625,-0.0269012451171875
222,1583.231207458611,192.36598582981267,0.5376475124552302,0.32659952367178013,0.9043521876154953,0.7369673058543169,1,0.0,0,9.807494630011073,7.136784488945248,0.17072015161086546,6.903550148010254,9.35940933227539,1.4206450912560975,0.4250701904296873,-0.06440749803978058,0.14471435546875,0.13153076171875,-0.01318359375
223,1727.3409770576359,172.18087783646249,0.7321804093028114,0.5925660383320891,0.9279670587139951,0.7820897037743589,0,0.0,1,9.894950809605811,7.212601147649985,0.14113896536733805,5.472789287567139,9.17787790298462,1.8080270022609422,0.477569580078125,-0.015262172042831201,0.153961181640625,0.1795806884765625,0.0256195068359375
224,1254.5654967084463,160.366737989646,0.6130199561098039,0.7339994875697453,0.9049572153456334,0.7092037653971434,0,0.0,1,9.006643485961826,6.44956710515547,0.1728395061728395,4.36837911605835,5.760806560516357,2.0617815548227068,0.4330337524414062,0.05655402483953417,1.9854736328125,0.1040802001953125,-1.8813934326171875
225,1333.585259903114,149.77448377275712,0.7470591473916087,0.6082434013215864,0.9725536906662744,0.81037233022882,1,0.0,1,7.523392676584259,5.128264510650023,0.1650121745645252,4.560818195343018,4.854508399963379,1.6495708345196223,0.32549743652343704,0.042385749366761684,0.160064697265625,0.379913330078125,0.2198486328125
226,1651.8800969636345,179.15186601475355,0.6467638124885836,0.670625202579055,0.9035043904745998,0.6419595920404307,1,0.0,1,8.806906922784263,6.466790140269937,0.18600785735871864,5.046245574951172,5.721380710601807,1.745239464068191,0.4304290771484375,0.08514179726603817,0.657257080078125,0.11346435546875,-0.543792724609375
227,1755.2822335479395,201.38636644070436,0.5438719850965248,0.416272374103645,0.8957323154193827,0.6860117066605502,1,0.0,1,6.0194631834058,4.256147393205782,0.2516735507762427,4.324217796325684,4.466349124908447,1.3920351533913433,0.237884521484375,0.012032214774482356,4.412994384765625,0.090911865234375,-4.32208251953125
228,1448.9443964690197,167.93778118212956,0.6456018434824413,0.5174040841340262,0.8859167125445603,0.7201317638584949,1,0.0,1,7.675659000127864,5.432917185305742,0.18567730802415874,4.71138334274292,4.924315929412842,1.6291730987992952,0.3462249755859375,0.0051116969690331105,0.1768798828125,0.083343505859375,-0.093536376953125
229,1187.2379972517347,155.70036392439144,0.6154154518874784,0.523386871290127,0.9242025119061428,0.7329893102173837,1,0.0,2,8.422378201076116,7.078670454103208,0.2874604847207587,6.164793968200684,8.218954086303711,1.3662059501940425,0.328570556640625,0.018428320929926238,2.41546630859375,6.9593963623046875,4.5439300537109375
230,1757.189932066947,219.80167164374652,0.4570530256512139,0.8463773382808678,0.8362923863895934,0.656284234897084,1,0.0,1,8.022238079732363,5.957184405290051,0.21032423208191126,5.181233882904053,6.009991884231567,1.5483257967185111,0.3656875610351562,-0.035101867779936805,5.22174072265625,2.09375,-3.12799072265625
231,1863.7083345042283,187.13069150553275,0.6688023131617578,0.8244746069395805,0.9002840551171383,0.6852956244187641,1,0.0,2,9.177291265574482,7.060025070188921,0.18967828418230562,5.717565298080444,7.786927223205566,1.6051047582535822,0.4546020507812499,0.07023797738328376,0.167236328125,0.62738037109375,0.46014404296875
232,2306.564601368137,216.90423106503258,0.616083303718308,0.8605185477568364,0.8300679386989581,0.6357491878415272,1,0.0,0,7.604704754098041,5.621372046493265,0.21321614583333334,4.827001094818115,5.863709926605225,1.5754512179957547,0.3408355712890625,-0.0012452900409698486,0.084136962890625,0.068878173828125,-0.0152587890625
233,1891.16337347914,226.47173253456558,0.46335185627743114,0.31854179430529744,0.8269103207096451,0.749762734960174,1,0.0,2,6.566764842039139,4.980963253831645,0.28724530299020906,4.197836637496948,6.683225154876709,1.5643211990151946,0.2934951782226562,0.011383428116833984,0.059600830078125,0.042388916015625,-0.0172119140625
234,2654.5398645703062,231.07245870312127,0.6247449365016557,0.4751176515313301,0.8884907619718654,0.7944372677206679,0,0.0,2,7.395900861676302,5.539030741906852,0.22651101487478817,2.906843662261963,3.224612236022949,2.5443063752252764,0.3663528442382811,0.025619070131750434,0.219879150390625,0.033111572265625,-0.186767578125
235,2068.438773247477,206.7286940485763,0.6082064365626427,0.4390274870077108,0.9431156544296718,0.7278918752203584,0,0.0,0,5.998489032958449,5.220863764308996,0.35390199637023595,3.228212833404541,4.167372226715088,1.8581454639198358,0.2916320800781246,0.046948467423103823,0.090240478515625,0.033233642578125,-0.0570068359375
236,1992.9952740784233,199.20888068408973,0.6311008169611314,0.6177362429695302,0.8830834492983811,0.6888247629262848,0,0.0,1,5.475156611221931,4.644702091594398,0.3826633165829146,2.3812092542648315,2.7341272830963135,2.2993177107033866,0.27112731933593703,0.0026362510182749684,0.0554351806640625,0.02471923828125,-0.0307159423828125
237,2444.5479448150804,239.98176989550635,0.5333986590317366,0.5811273896266292,0.7944811935268801,0.6866293633706761,0,0.0,1,5.655657268163034,5.1392301829121925,0.4221084953940635,2.672462224960327,3.1306419372558594,2.1162721086719913,0.29473114013671864,0.01805311532933246,0.1669921875,0.025177001953125,-0.141815185546875
238,1750.871303097718,184.90963372080049,0.6434947559345573,0.48955807329656337,0.9240512432043371,0.7356507890006898,0,0.0,3,7.297945651530165,5.800734772990331,0.2370222475755847,3.7782379388809204,4.0691609382629395,1.9315738631568953,0.36015624999999984,0.021088120873424574,10.144744873046875,0.040008544921875,-10.104736328125
239,1447.222922749085,168.15299523854924,0.6431852577502261,0.45073772955609354,0.9348038014286634,0.7060261086128381,0,0.0,1,6.50292546211618,5.057532914005513,0.3,3.4060232639312744,3.585984945297241,1.9092428202062317,0.29865264892578125,0.038447710475361614,12.363800048828125,0.043975830078125,-12.31982421875
240,2149.2749982199275,181.0692122103592,0.8237826228795861,0.7789918433964605,0.9707564987222815,0.8050209957300722,0,0.0,1,5.67461900937874,4.609332189728708,0.37552301255230125,2.571785569190979,3.0436201095581055,2.2064899489905128,0.272657775878906,0.0015755675106146124,0.0536956787109375,0.023651123046875,-0.0300445556640625
241,2169.1004407596674,223.59437409338094,0.5452149836798627,0.5086046936489601,0.8935829443354942,0.7559472836212116,0,0.0,2,7.020953459047518,5.509027600264475,0.2672890733056708,3.7271370887756348,3.7596707344055176,1.8837389910318276,0.3393402099609375,0.013216577075274103,0.06658935546875,0.029998779296875,-0.036590576171875
242,1777.5935185016992,178.69481762406693,0.6995494297295565,0.49762151683305633,0.9623048999946935,0.7899415314983578,0,4.741905376129758,2,7.157828646805753,4.8706184782039195,0.17936083345065465,6.653017044067383,7.041557788848877,1.0758770944662648,0.2788482666015624,0.07533841815848057,0.09686279296875,0.054534912109375,-0.042327880859375
243,1815.322571599336,176.58534157740596,0.7315674469697065,0.5413166136431242,0.9826182252698663,0.7133101137209525,0,0.0,1,10.5248762018632,7.515837793985805,0.10941370767960364,10.325082778930664,11.097214698791504,1.0193502974465478,0.34860992431640625,0.07774198465428667,0.096038818359375,0.200042724609375,0.10400390625
244,1971.5166250610673,186.27957129076,0.7139698100158793,0.5663753457523512,0.9400655329440105,0.6968194172364075,0,0.0,2,7.588736932868258,6.004177315264185,0.22466066218444755,5.189052104949951,6.212257623672485,1.462451480421481,0.34555969238281226,0.008096069970833201,0.0823974609375,0.051483154296875,-0.030914306640625
245,1765.4673720868034,184.71719830956746,0.6502118708352829,0.5510386608306168,0.941230010150865,0.7106159358163808,1,0.0,1,12.22064906934739,8.52587139061292,0.1611441517983574,8.056438446044922,10.350754737854004,1.516879841035311,0.41874847412109373,0.006485676772194049,0.2543182373046875,0.083404541015625,-0.1709136962890625
