component_id,area_m2,bbox_h_px,bbox_w_px,aspect_ratio_bbox,eccentricity,elongation_pca,solidity_bbox,road_prob_max,road_prob_mean,pit_prob_max,centroid_x,centroid_y,overlaps_labeled_pit,classification
899,194.5,32,33,1.03125,0.4166898432424948,1.100051051698391,0.7367424242424242,0.46314072608947754,0.20207884907722473,0.7536579370498657,619941.1394601542,4594903.346401028,False,COMPACT_OTHER_FP
900,315.75,42,39,1.0769230769230769,0.5090956898408343,1.1618316096165366,0.7710622710622711,0.299955278635025,0.16571880877017975,0.8622695207595825,620855.3012668251,4594896.57165479,False,COMPACT_OTHER_FP
901,249.5,35,35,1.0,0.19689567617888187,1.0199664083433995,0.8146938775510204,0.5309646129608154,0.193109393119812,0.9051163196563721,623681.8246492986,4594898.9749499,False,ROAD_LIKE_COMPACT
902,77.75,24,23,1.0434782608695652,0.5313849203920448,1.1804556822091026,0.5634057971014492,0.4599701762199402,0.2467721551656723,0.6099903583526611,620238.1028938907,4594898.69614148,False,COMPACT_OTHER_FP
903,132.0,30,22,1.3636363636363635,0.6377411858209199,1.298278556688078,0.8,0.3340267837047577,0.09605861455202103,0.733100175857544,622566.6098484849,4594896.474431818,False,COMPACT_OTHER_FP
904,118.75,26,26,1.0,0.5791986106916424,1.226713206674521,0.7026627218934911,0.3596412241458893,0.19611617922782898,0.5810532569885254,623543.2957894737,4594897.317894737,False,COMPACT_OTHER_FP
905,247.5,38,32,1.1875,0.5845223642142462,1.2324717900453643,0.8141447368421053,0.5028520822525024,0.18775351345539093,0.7910299301147461,619792.8434343435,4594892.455050505,False,ROAD_LIKE_COMPACT
906,160.75,28,30,1.0714285714285714,0.5566131869028061,1.2037000016505928,0.7654761904761904,0.4729660749435425,0.24226142466068268,0.732624351978302,620202.3584758942,4594893.615085537,False,COMPACT_OTHER_FP
907,135.25,26,26,1.0,0.2779457078189687,1.0410195157141513,0.8002958579881657,0.3363284468650818,0.15206918120384216,0.6953497529029846,620329.73012939,4594890.354898336,False,COMPACT_OTHER_FP
908,79.75,35,15,2.3333333333333335,0.941371087791223,2.9640791947963185,0.6076190476190476,0.6172360181808472,0.35038653016090393,0.5660970211029053,622238.2978056426,4594885.813479624,False,ROAD_LIKE_COMPACT
