x,y,kind
700129.4992522362,4646301.513872902,road
700232.7306493223,4646264.692689946,road
700199.7523792448,4646267.608345147,road
700167.0720232896,4646272.982316022,road
700232.7306493223,4646264.692689946,road
700247.4568436942,4646304.823124861,road
700155.0587694887,4646310.12600689,road
700180.9141030663,4646314.575778074,road
700206.8612146355,4646311.20795771,road
700232.5968978541,4646305.605712529,road
700259.0401266741,4646304.349273387,road
700158.3608648231,4646279.468303003,road
700177.8446390585,4646292.592387609,road
700196.1149906613,4646307.295655767,road
700214.1674080128,4646322.309071335,road
700231.6892748083,4646337.954852365,road
700248.7589110538,4646354.089389435,road
700263.2918992589,4646372.360899713,road
700275.6239718939,4646392.338717359,road
700286.4464200685,4646413.158206371,road
700100.9041067741,4646312.3984516375,road
700096.3119788001,4646338.929052068,road
700093.1307567591,4646365.645364609,road
700091.2792893846,4646392.516195744,road
700088.4935517798,4646419.27947772,road
700082.4815970929,4646520.886945858,road
700084.4528836774,4646495.512957172,road
700086.2575263301,4646470.127031976,road
700087.5703178657,4646444.713174105,road
700088.4935517798,4646419.27947772,road
700082.5123300499,4646520.491356811,road
700057.2636665091,4646521.809221744,road
699878.9013600235,4646427.527782226,road
699873.9166601893,4646448.398830484,road
699898.0813856224,4646456.136232908,road
699920.7853006216,4646467.4384709,road
699943.239924711,4646479.257761781,road
699841.7701327739,4646472.213858581,road
699854.854790484,4646489.202805823,road
699869.5424506317,4646504.749200096,road
699886.0527528132,4646518.103487247,road
699905.6662245351,4646526.490137225,road
699926.4370062232,4646525.57252909,road
699947.4356176382,4646522.735005665,road
699968.8210071251,4646524.295934917,road
699990.1378380174,4646525.3277742965,road
700011.3893183739,4646523.232623058,road
700032.7568970971,4646521.531142527,road
700054.1413867647,4646521.619080677,road
700049.5831114252,4646505.862520799,road
