pit_bottom_elev_m,rim_mean_elev_m,rim_max_elev_m,depth_from_rim_mean_m,depth_from_rim_max_m,rim_radius_m,effective_radius_m,diameter_m,aspect_ratio,rim_symmetry_std_m,volume_approx_m3,lrm5_depth_m,lrm11_depth_m,slope_inner_deg,original_index,tile,notes,max_zscore,mean_zscore,mahalanobis,iso_anomaly_score,PC1_depth_volume,PC2_size_vs_slope,PC3_rim_asymmetry,z_depth_from_rim_mean_m,z_depth_from_rim_max_m,z_rim_radius_m,z_effective_radius_m,z_diameter_m,z_aspect_ratio,z_rim_symmetry_std_m,z_volume_approx_m3,z_lrm5_depth_m,z_lrm11_depth_m,z_slope_inner_deg,anomaly_reason,anomaly_reason_zscore,anomaly_rank
645.3082,646.8329,649.5862,1.5247,4.2780,7.5000,6.4031,15.0000,0.1016,1.8640,89.8098,-0.0861,-0.3434,5.8877,765,mkf,,3.7363,1.5454,5.0500,0.5700,5.5506,1.2104,-0.4647,2.2348,3.7363,0.8392,1.8183,0.8392,1.4146,2.4127,2.6291,0.3640,-0.0268,-0.6840,depth_from_rim_max_m,3.7363,35
387.1492,389.0599,390.2218,1.9106,3.0726,7.5000,6.0828,15.0000,0.1274,1.2440,112.5463,-0.2589,-0.9410,12.5493,43,9t,,3.6708,1.6266,5.0363,0.5644,5.0728,3.6328,-0.2648,3.3117,2.0362,0.8392,0.9470,0.8392,2.2754,1.1294,3.6708,-0.8026,-1.6370,0.4038,volume_approx_m3,3.6708,36
395.3396,396.1779,397.3370,0.8383,1.9974,7.5000,5.7439,15.0000,0.0559,1.9858,49.3774,0.0555,0.5535,32.8783,458,9t,,3.7234,1.2303,5.0362,0.5484,2.7128,-2.0846,3.9948,0.3197,0.5198,0.8392,0.0253,0.8392,-0.1161,2.6648,0.7765,1.3196,2.3902,3.7234,slope_inner_deg,3.7234,37
617.6666,619.2690,621.1399,1.6024,3.4733,7.5000,5.9155,15.0000,0.1068,1.8349,94.3866,-0.1088,-0.3107,6.4801,704,mk5,,2.8388,1.3511,5.0344,0.5343,4.8548,1.4276,0.1650,2.4516,2.6014,0.8392,0.4920,0.8392,1.5879,2.3524,2.8388,0.2111,0.0614,-0.5873,volume_approx_m3,2.8388,38
510.7459,511.8322,514.6485,1.0863,3.9026,7.5000,5.7439,15.0000,0.0724,1.6042,63.9886,-0.3863,-0.6728,15.7492,671,mk5,,3.2069,1.1985,5.0100,0.5188,3.6650,1.7547,1.2071,1.0118,3.2069,0.8392,0.0253,0.8392,0.4371,1.8749,1.4460,-1.6624,-0.9141,0.9263,depth_from_rim_max_m,3.2069,39
443.3631,443.8744,444.0063,0.5113,0.6432,3.0000,5.3852,6.0000,0.0852,0.0759,4.8191,-0.3076,-0.3833,13.2693,404,9t,,2.3129,1.1604,4.9852,0.5241,-3.7531,1.8572,0.7880,-0.5925,-1.3901,-2.3129,-0.9504,-2.3129,0.8652,-1.2886,-1.2651,-1.1307,-0.1343,0.5214,rim_radius_m,-2.3129,40
524.2060,524.2598,524.3472,0.0538,0.1412,3.0000,5.0990,6.0000,0.0090,0.0593,0.5068,-0.0392,0.1163,2.3795,706,mk5,,2.3129,1.6311,4.9629,0.6045,-5.1505,-1.4699,0.0228,-1.8691,-2.0981,-2.3129,-1.7286,-2.3129,-1.6857,-1.3229,-1.4627,0.6804,1.2120,-1.2568,rim_radius_m,-2.3129,41
603.8212,605.7256,607.2502,1.9044,3.4290,7.5000,6.0000,15.0000,0.1270,1.7675,112.1759,-0.1190,-0.2974,21.2551,699,mk5,,3.6538,1.6751,4.9577,0.5909,5.7880,2.3678,1.7099,3.2942,2.5389,0.8392,0.7219,0.8392,2.2614,2.2129,3.6538,0.1419,0.0972,1.8254,volume_approx_m3,3.6538,42
478.3503,480.0850,480.4668,1.7347,2.1164,7.0000,6.3246,14.0000,0.1239,0.2756,89.0111,-0.1033,-0.8013,4.7787,90,9t,,2.8208,1.2810,4.9001,0.5526,2.9991,2.7588,-2.1438,2.8208,0.6877,0.4889,1.6046,0.4889,2.1593,-0.8751,2.5925,0.2478,-1.2605,-0.8651,depth_from_rim_mean_m,2.8208,43
542.6276,544.1227,545.3254,1.4951,2.6978,7.5000,6.3246,15.0000,0.0997,1.7821,88.0697,0.0934,0.1249,14.0396,679,mk5,,2.5493,1.5039,4.8903,0.5443,4.6381,-0.1633,0.6006,2.1524,1.5077,0.8392,1.6046,0.8392,1.3487,2.2432,2.5493,1.5757,1.2353,0.6472,volume_approx_m3,2.5493,44
