fold,prob_threshold,n_pred_heldout,n_heldout,recall_iou30,precision_iou30,f1_iou30,recall_iou50,containment,containment_hits,n_rims
3,0.7,88,100,0.5,0.5681818181818182,0.5319148936170213,0.24,0.6767676767676768,67,99
3,0.75,73,100,0.42,0.5753424657534246,0.48554913294797686,0.16,0.6060606060606061,60,99
3,0.8,57,100,0.29,0.5087719298245614,0.36942675159235666,0.06,0.494949494949495,49,99
3,0.85,40,100,0.15,0.375,0.21428571428571425,0.01,0.3939393939393939,39,99
4,0.1,730,101,0.5346534653465347,0.07397260273972603,0.12996389891696752,0.07920792079207921,0.9801980198019802,99,101
4,0.15,395,101,0.6633663366336634,0.16962025316455695,0.2701612903225806,0.19801980198019803,0.9801980198019802,99,101
4,0.2,256,101,0.7524752475247525,0.296875,0.4257703081232493,0.297029702970297,0.9603960396039604,97,101
4,0.25,168,101,0.8217821782178217,0.49404761904761907,0.617100371747212,0.38613861386138615,0.9603960396039604,97,101
4,0.3,140,101,0.9405940594059405,0.6785714285714286,0.7883817427385893,0.504950495049505,0.9702970297029703,98,101
4,0.35,127,101,0.9108910891089109,0.7244094488188977,0.8070175438596492,0.6435643564356436,0.9405940594059405,95,101
4,0.4,123,101,0.8712871287128713,0.7154471544715447,0.7857142857142857,0.7227722772277227,0.9108910891089109,92,101
4,0.45,109,101,0.8514851485148515,0.7889908256880734,0.819047619047619,0.7524752475247525,0.8712871287128713,88,101
4,0.5,104,101,0.8217821782178217,0.7980769230769231,0.8097560975609756,0.7326732673267327,0.8514851485148515,86,101
4,0.55,96,101,0.7722772277227723,0.8125,0.7918781725888325,0.6138613861386139,0.8217821782178217,83,101
4,0.6,88,101,0.7128712871287128,0.8181818181818182,0.761904761904762,0.5445544554455446,0.7722772277227723,78,101
4,0.65,81,101,0.6336633663366337,0.7901234567901234,0.7032967032967031,0.45544554455445546,0.7128712871287128,72,101
4,0.7,72,101,0.5544554455445545,0.7777777777777778,0.647398843930636,0.3564356435643564,0.6534653465346535,66,101
4,0.75,62,101,0.43564356435643564,0.7096774193548387,0.5398773006134969,0.2079207920792079,0.594059405940594,60,101
4,0.8,44,101,0.25742574257425743,0.5909090909090909,0.3586206896551724,0.1188118811881188,0.42574257425742573,43,101
4,0.85,26,101,0.1485148514851485,0.5769230769230769,0.23622047244094488,0.0594059405940594,0.24752475247524752,25,101
